Target,Model,AUC,AUC_ROC,BEDROC,EF0.5,EF1,EF5,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egfr,TranformerCPI,,0.745454545,0.202269973,10.05,5.025,5.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38-alpha,TranformerCPI,,0.455520305,0.003096045,0,0,0.500819672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inha,TranformerCPI,,0.191012658,1.66E-16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt1,TranformerCPI,,0.784055118,0.283655715,11.83,8.065909091,5.513983051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11betahsd1,TranformerCPI,,0.387390158,0.01724858,0,0,1.015517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igf1r,TranformerCPI,,0.786464826,0.336079227,5.815,10.57272727,6.015517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cox1,TranformerCPI,,0.560753932,0.044297817,0,0,1.501339286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tie2,TranformerCPI,,0.757722174,0.129773978,0,5.45,3.556355932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk3,TranformerCPI,,0.536858974,0.011284757,0,0,1.008333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegfr2,TranformerCPI,,0.72315834,0.061593929,0,0,3.002459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,TranformerCPI,,0.315408674,1.55E-18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ache,TranformerCPI,,0.459017782,6.57E-05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fgfr1,TranformerCPI,,0.756562774,0.009616511,0,0,0.508189655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tp,TranformerCPI,,0.384473151,0.000414265,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygl-out,TranformerCPI,,0.475647993,2.56E-11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fxa,TranformerCPI,,0.556087522,0.09743407,5.97,2.713636364,1.011864407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gba,TranformerCPI,,0.620523013,0.202118239,10.29166667,7.71875,2.530737705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsk3b,TranformerCPI,,0.560055746,0.056154791,0,0,2.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppara,TranformerCPI,,0.432227273,0.007785892,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdac8,TranformerCPI,,0.479376047,0.014036161,0,0,1.01147541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpct,TranformerCPI,,0.612813022,0.017639577,0,0,1.522131148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmgr,TranformerCPI,,0.522243108,0.052720988,5.154166667,2.577083333,0.506967213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11betahsd1,RF-Score-VS@IGN,,0.657620206,0.067938437,0,0,2.05,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17betahsd1,RF-Score-VS@IGN,,0.740669756,0.158630753,4.38,4.72,3.96,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2a,RF-Score-VS@IGN,,0.838005051,0.623192847,26.31,21.25,9.90,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace,RF-Score-VS@IGN,,0.981380753,0.961321224,30.88,30.88,16.43,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace2,RF-Score-VS@IGN,,0.983256881,0.93822591,30.98,30.98,15.99,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ache,RF-Score-VS@IGN,,0.733202794,0.495129192,13.08,14.09,8.86,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam17,RF-Score-VS@IGN,,0.887563025,0.750109334,30.75,26.02,11.41,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrb2,RF-Score-VS@IGN,,0.823717372,0.57319798,23.98,16.79,8.43,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt1,RF-Score-VS@IGN,,0.936424614,0.600832351,20.21,17.68,11.62,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alr2,RF-Score-VS@IGN,,0.751907673,0.207109351,8.76,4.72,5.93,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar,RF-Score-VS@IGN,,0.947492904,0.603096731,11.29,9.67,9.88,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurka,RF-Score-VS@IGN,,0.723192976,0.108649059,0,2.39,4.58,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurkb,RF-Score-VS@IGN,,0.682723404,0.212316549,8.68,4.67,4.48,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcl2,RF-Score-VS@IGN,,0.505283178,0.002098163,0,0,0.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braf,RF-Score-VS@IGN,,0.866250274,0.189093323,4.43,2.38,6.10,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catl,RF-Score-VS@IGN,,0.659178541,0.057039021,0,2.37,1.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdk2,RF-Score-VS@IGN,,0.745728806,0.308807302,19.93,9.97,4.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cox1,RF-Score-VS@IGN,,0.852060058,0.689035759,23.93,23.93,9.74,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cox2,RF-Score-VS@IGN,,0.972576488,1.013350428,23.11,23.11,15.05,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctsk,RF-Score-VS@IGN,,0.586077406,0.104361087,8.82,4.75,1.00,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhfr,RF-Score-VS@IGN,,0.74724451,0.487209103,21.86,18.83,6.91,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egfr,RF-Score-VS@IGN,,0.672395215,0.088720881,0,0,4.05,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ephb4,RF-Score-VS@IGN,,0.818057922,0.52274343,21.68,18.68,6.47,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erbb2,RF-Score-VS@IGN,,0.884615385,0.650881623,24.67,22.20,9.87,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fgfr1,RF-Score-VS@IGN,,0.871378924,0.4225991,9.63,9.63,8.96,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fkbp1a,RF-Score-VS@IGN,,0.854722725,0.618208885,32.39,24.92,7.84,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fxa,RF-Score-VS@IGN,,0.847364796,0.761106681,30.59,28.04,10.20,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gba,RF-Score-VS@IGN,,0.827573222,0.408616851,22.05,14.25,6.47,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr,RF-Score-VS@IGN,,0.795847422,0.294325032,13.10,11.76,3.45,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsk3b,RF-Score-VS@IGN,,0.684262436,0.231280949,8.61,6.96,5.44,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdac2,RF-Score-VS@IGN,,0.89907368,0.76374832,26.01,25.68,10.95,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdac8,RF-Score-VS@IGN,,0.800586265,0.440359663,13.22,11.87,7.96,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiv1pr,RF-Score-VS@IGN,,0.911331179,0.531370177,18.78,17.70,11.31,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hiv1rt,RF-Score-VS@IGN,,0.685784117,0.173041744,4.58,2.46,4.20,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hmgr,RF-Score-VS@IGN,,0.986779449,0.998994576,26.51,28.55,19.45,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsp90,RF-Score-VS@IGN,,0.756782368,0.22287297,8.67,7.00,3.98,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igf1r,RF-Score-VS@IGN,,0.916603877,0.472719222,19.86,12.41,9.09,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inha,RF-Score-VS@IGN,,0.551223629,0.004508416,0,0,0.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itk,RF-Score-VS@IGN,,0.664367572,0.330156525,8.70,9.37,6.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk1,RF-Score-VS@IGN,,0.75908224,0.494247458,21,21,7.35,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk2,RF-Score-VS@IGN,,0.717733533,0.324598004,15.01,10.01,7.12,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnk3,RF-Score-VS@IGN,,0.792912928,0.356137942,10.75,8.79,8.21,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kif11,RF-Score-VS@IGN,,0.957463644,0.841187287,30.23,27.90,13.87,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lck,RF-Score-VS@IGN,,0.891981943,0.471328594,21.48,16.19,5.92,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdm2,RF-Score-VS@IGN,,0.564874784,0.036521551,0,0,2.00,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mk2,RF-Score-VS@IGN,,0.727883163,0.328892879,10.49,13.11,5.87,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmp2,RF-Score-VS@IGN,,0.801378367,0.323841406,8.77,11.81,5.45,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,RF-Score-VS@IGN,,0.963678065,0.821692611,30.98,28.59,12.99,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p38-alpha,RF-Score-VS@IGN,,0.902210237,0.384820485,8.73,7.05,10.35,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parp-1,RF-Score-VS@IGN,,0.853830472,0.750720634,30.13,25.49,10.37,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde4b,RF-Score-VS@IGN,,0.750314597,0.171618096,8.80,4.74,2.48,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pde5,RF-Score-VS@IGN,,0.865142655,0.298861628,9.22,9.93,7.81,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi3kg,RF-Score-VS@IGN,,0.753289978,0.272294366,13.30,9.55,3.56,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pim-1,RF-Score-VS@IGN,,0.514296407,0.006744424,0,0,0.99,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pim-2,RF-Score-VS@IGN,,0.420817705,0.004778189,0,0,0.51,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pnp,RF-Score-VS@IGN,,0.859647651,0.619326899,26.40,23.69,9.44,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppara,RF-Score-VS@IGN,,0.891100478,0.601830494,24.96,17.47,9.98,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pparg,RF-Score-VS@IGN,,0.824590909,0.494493549,14.25,14.25,9,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr,RF-Score-VS@IGN,,0.799022708,0.118845295,4.90,2.67,3.39,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prkcq,RF-Score-VS@IGN,,0.867107528,0.58176448,21.05,15.79,9.47,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygl-in,RF-Score-VS@IGN,,0.34567953,6.27711E-05,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygl-out,RF-Score-VS@IGN,,0.767119565,0.153928868,4.41,4.75,3.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpct,RF-Score-VS@IGN,,0.363313856,9.96809E-09,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock-1,RF-Score-VS@IGN,,0.844457547,0.58469296,21.54,16.23,9.89,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxr,RF-Score-VS@IGN,,0.990942135,1.034662547,25.92,25.92,17.82,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sars-hcov,RF-Score-VS@IGN,,0.493011002,0.02855359,0,0,1.52,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirt2,RF-Score-VS@IGN,,0.468141406,0.002383241,0,0,0.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src,RF-Score-VS@IGN,,0.738765643,0.262108521,8.87,7.17,5.60,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrombin,RF-Score-VS@IGN,,0.829811838,0.61699414,22.74,22.04,10.44,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tie2,RF-Score-VS@IGN,,0.720325993,0.258899679,9.98,9.98,3.49,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tk,RF-Score-VS@IGN,,0.779205858,0.559237713,22.58,21.89,9.69,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tp,RF-Score-VS@IGN,,0.328665455,0.007270904,0,0,0.64,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpa,RF-Score-VS@IGN,,0.742723907,0.648569802,25.46,22.91,7.77,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts,RF-Score-VS@IGN,,0.619872881,0.0249247,0,0,1.50,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upa,RF-Score-VS@IGN,,0.679974048,0.663665642,24.92,22.43,8.47,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegfr1,RF-Score-VS@IGN,,0.815825359,0.483307128,19.96,12.48,8.41,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegfr2,RF-Score-VS@IGN,,0.74412167,0.130899278,4.47,4.81,3.59,https://pubs.acs.org/doi/10.1021/acs.jmedchem.1c01830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11betahsd1,RTMScore@GlideSP,,0.662 ,0.004 ,0.000,0.000,0.497,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17betahsd1,RTMScore@GlideSP,,0.503 ,0.030 ,0.000,0.000,0.990,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2a,RTMScore@GlideSP,,0.775 ,0.602 ,30.525,23.481,7.385,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace,RTMScore@GlideSP,,0.884 ,0.909 ,30.900,30.900,13.456,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace2,RTMScore@GlideSP,,0.910 ,0.464 ,26.550,16.679,6.994,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ache,RTMScore@GlideSP,,0.545 ,0.001 ,0.000,0.000,0.000,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam17,RTMScore@GlideSP,,0.903 ,0.881 ,30.750,30.750,12.895,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
