Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
cxcr4,DDTA,1.0,2.5,39,3413,35,1.0,0.718,2.544,0.508,2.857,0.016,0.016,2.5,,0.03
def,DDTA,1.0,0.0,99,5758,58,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,,0.0
dhi1,DDTA,1.0,1.21,329,19461,195,3.989,0.548,1.214,0.501,2.046,0.003,0.003,1.21,,0.02
dpp4,DDTA,1.0,4.5,532,40888,409,23.947,0.825,4.718,0.518,5.855,0.04,0.04,4.5,,0.08
drd3,DDTA,1.0,1.04,478,33326,334,4.982,0.51,1.041,0.5,1.492,0.0,0.0,1.04,,0.02
dyr,DDTA,1.0,2.6,231,17074,171,6.015,0.727,2.658,0.508,3.518,0.019,0.019,2.6,,0.07
egfr,DDTA,1.0,2.58,540,34875,349,13.942,0.726,2.646,0.508,3.995,0.02,0.019,2.58,,0.05
esr1,DDTA,1.0,2.35,375,20175,202,8.823,0.707,2.412,0.507,4.368,0.019,0.018,2.35,,0.04
esr2,DDTA,1.0,1.91,363,19336,194,6.956,0.66,1.944,0.505,3.586,0.013,0.012,1.91,,0.04
fa10,DDTA,1.0,4.47,537,20046,201,24.069,0.832,4.942,0.518,11.974,0.058,0.051,4.47,,0.11
fa7,DDTA,1.0,3.51,114,6114,62,4.058,0.787,3.686,0.513,6.545,0.035,0.033,3.51,,0.07
fabp4,DDTA,1.0,0.0,47,2518,26,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.0
fak1,DDTA,1.0,2.0,99,5388,54,1.984,0.671,2.038,0.505,3.675,0.014,0.013,2.0,,0.03
fgfr1,DDTA,1.0,2.16,129,435,5,3.203,0.809,4.227,0.509,64.055,0.081,0.026,2.16,,0.44
fkb1a,DDTA,1.0,0.0,111,5887,59,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.0
fnta,DDTA,1.0,0.84,589,51372,514,4.95,0.456,0.838,0.499,0.963,-0.002,-0.002,0.84,,0.02
fpps,DDTA,1.0,0.0,85,8817,89,0.0,0.0,0.0,0.495,0.0,-0.01,-0.01,0.0,,0.0
gcr,DDTA,1.0,0.78,183,12612,127,1.437,0.437,0.777,0.499,1.132,-0.003,-0.003,0.78,,0.04
glcm,DDTA,1.0,1.85,54,3834,39,1.016,0.652,1.873,0.504,2.606,0.01,0.01,1.85,,0.03
gria2,DDTA,1.0,1.9,158,11662,117,3.012,0.658,1.924,0.505,2.574,0.011,0.01,1.9,,0.03
grik1,DDTA,1.0,0.99,101,6620,67,1.012,0.497,0.99,0.5,1.51,-0.0,-0.0,0.99,,0.03
hdac2,DDTA,1.0,2.7,180,10352,104,4.883,0.736,2.784,0.509,4.695,0.023,0.022,2.7,,0.06
hdac8,DDTA,1.0,1.76,164,10481,105,2.892,0.64,1.782,0.504,2.754,0.01,0.009,1.76,,0.04
hivint,DDTA,1.0,0.0,100,6673,67,0.0,0.0,0.0,0.495,0.0,-0.012,-0.012,0.0,,0.01
hivpr,DDTA,1.0,1.49,519,35905,360,7.754,0.6,1.501,0.502,2.154,0.006,0.006,1.49,,0.03
hivrt,DDTA,1.0,0.59,337,18737,188,1.995,0.369,0.586,0.498,1.061,-0.006,-0.005,0.59,,0.01
hmdh,DDTA,1.0,0.0,168,8878,89,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.01
hs90a,DDTA,1.0,2.27,86,4840,49,1.976,0.699,2.323,0.507,4.033,0.017,0.017,2.27,,0.05
hxk4,DDTA,1.0,1.09,91,4720,48,1.009,0.522,1.092,0.5,2.101,0.001,0.001,1.09,,0.05
igf1r,DDTA,1.0,3.38,147,9044,91,4.999,0.779,3.518,0.512,5.494,0.031,0.03,3.38,,0.06
inha,DDTA,1.0,0.0,43,2329,24,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.0
ital,DDTA,1.0,0.0,136,8377,84,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,,0.0
jak2,DDTA,1.0,6.54,106,6465,65,6.97,0.878,7.205,0.528,10.723,0.072,0.07,6.54,,0.12
kif11,DDTA,1.0,0.0,116,6837,69,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,,0.01
kit,DDTA,1.0,4.22,165,10323,104,7.015,0.817,4.453,0.516,6.745,0.041,0.04,4.22,,0.07
kith,DDTA,1.0,0.0,57,2894,29,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.0
kpcb,DDTA,1.0,0.0,126,8611,87,0.0,0.0,0.0,0.495,0.0,-0.012,-0.012,0.0,,0.01
lck,DDTA,1.0,3.81,416,27305,274,15.905,0.799,3.983,0.514,5.805,0.035,0.034,3.81,,0.07
lkha4,DDTA,1.0,0.0,170,7992,80,0.0,0.0,0.0,0.495,0.0,-0.015,-0.014,0.0,,0.0
mapk2,DDTA,1.0,14.85,100,6155,62,14.959,0.951,19.254,0.571,24.127,0.18,0.174,14.85,,0.26
mcr,DDTA,1.0,1.06,38,2490,25,0.404,0.515,1.061,0.5,1.618,0.001,0.001,1.06,,0.02
met,DDTA,1.0,1.2,165,11027,111,1.993,0.546,1.204,0.501,1.796,0.002,0.002,1.2,,0.03
mk01,DDTA,1.0,1.27,78,4485,45,0.994,0.561,1.276,0.501,2.209,0.004,0.003,1.27,,0.05
mk10,DDTA,1.0,3.85,103,6558,66,3.991,0.801,4.033,0.515,6.047,0.036,0.035,3.85,,0.1
mk14,DDTA,1.0,2.42,578,35731,358,14.015,0.712,2.478,0.507,3.915,0.018,0.018,2.42,,0.06
mmp13,DDTA,1.0,1.57,567,37374,374,8.908,0.613,1.584,0.503,2.382,0.007,0.007,1.57,,0.03
mp2k1,DDTA,1.0,0.0,120,8089,81,0.0,0.0,0.0,0.495,0.0,-0.012,-0.012,0.0,,0.01
nos1,DDTA,1.0,1.0,100,8044,81,1.007,0.5,1.0,0.5,1.243,0.0,0.0,1.0,,0.04
nram,DDTA,1.0,0.0,98,4300,43,0.0,0.0,0.0,0.495,0.0,-0.015,-0.014,0.0,,0.0
pa2ga,DDTA,1.0,2.02,98,5212,53,2.013,0.673,2.06,0.505,3.798,0.014,0.014,2.02,,0.04
parp1,DDTA,1.0,0.98,507,30174,302,4.973,0.495,0.98,0.5,1.647,-0.0,-0.0,0.98,,0.03
pde5a,DDTA,1.0,2.76,379,27420,275,10.491,0.739,2.83,0.509,3.815,0.021,0.021,2.76,,0.06
pgh1,DDTA,1.0,3.08,174,9195,92,5.362,0.762,3.209,0.511,5.828,0.029,0.028,3.08,,0.07
pgh2,DDTA,1.0,5.06,365,17398,174,18.471,0.847,5.542,0.521,10.616,0.06,0.056,5.06,,0.11
plk1,DDTA,1.0,0.0,106,6789,68,0.0,0.0,0.0,0.495,0.0,-0.013,-0.012,0.0,,0.0
pnph,DDTA,1.0,19.42,103,7010,71,20.259,0.964,26.775,0.595,28.534,0.228,0.224,19.42,,0.3
ppara,DDTA,1.0,1.34,371,16295,163,4.973,0.575,1.351,0.502,3.051,0.005,0.005,1.34,,0.04
ppard,DDTA,1.0,3.33,239,11497,115,7.961,0.778,3.503,0.512,6.922,0.034,0.032,3.33,,0.07
pparg,DDTA,1.0,1.24,482,24949,250,5.989,0.555,1.246,0.501,2.396,0.003,0.003,1.24,,0.03
prgr,DDTA,1.0,3.41,223,12892,129,7.609,0.781,3.561,0.512,5.898,0.032,0.031,3.41,,0.07
ptn1,DDTA,1.0,0.77,128,7312,74,0.997,0.434,0.767,0.499,1.348,-0.003,-0.003,0.77,,0.03
pur2,DDTA,1.0,6.0,50,2717,28,3.092,0.869,6.621,0.526,11.042,0.07,0.067,6.0,,0.16
pygm,DDTA,1.0,1.3,77,3978,40,1.007,0.567,1.308,0.502,2.516,0.004,0.004,1.3,,0.03
pyrd,DDTA,1.0,0.0,109,6070,61,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.0
reni,DDTA,1.0,0.0,104,7010,71,0.0,0.0,0.0,0.495,0.0,-0.012,-0.012,0.0,,0.01
rock1,DDTA,1.0,4.0,99,6263,63,3.983,0.808,4.202,0.515,6.323,0.038,0.037,4.0,,0.06
rxra,DDTA,1.0,2.29,113,4673,47,2.603,0.703,2.366,0.507,5.538,0.02,0.019,2.29,,0.05
sahh,DDTA,1.0,0.0,63,3477,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.0
src,DDTA,1.0,1.91,519,34158,342,9.925,0.66,1.937,0.505,2.902,0.011,0.011,1.91,,0.06
tgfr1,DDTA,1.0,10.53,133,8465,85,14.063,0.925,12.419,0.549,16.544,0.121,0.118,10.53,,0.14
thb,DDTA,1.0,0.0,97,4975,50,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,0.02
thrb,DDTA,1.0,2.17,452,26837,269,9.831,0.689,2.214,0.506,3.655,0.015,0.015,2.17,,0.06
try1,DDTA,1.0,4.23,439,21780,218,18.587,0.819,4.531,0.516,8.526,0.047,0.044,4.23,,0.09
tryb1,DDTA,1.0,1.35,148,7660,77,2.008,0.576,1.359,0.502,2.608,0.005,0.005,1.35,,0.03
tysy,DDTA,1.0,3.67,109,6758,68,4.025,0.793,3.838,0.514,5.919,0.034,0.034,3.67,,0.07
urok,DDTA,1.0,2.47,162,9687,97,4.007,0.717,2.533,0.507,4.131,0.019,0.019,2.47,,0.06
vgfr2,DDTA,1.0,4.65,379,17864,179,17.659,0.835,5.049,0.519,9.865,0.054,0.05,4.65,,0.08
wee1,DDTA,1.0,0.0,102,6123,62,0.0,0.0,0.0,0.495,0.0,-0.013,-0.013,0.0,,0.0
xiap,DDTA,1.0,0.0,99,5117,52,0.0,0.0,0.0,0.495,0.0,-0.014,-0.014,0.0,,0.0
aa2ar,CompScore*,1.0,46.19,481,10862,109,222.951,1.024,-42.227,0.737,204.542,0.979,0.752,46.19,,0.73
abl1,CompScore*,1.0,35.33,180,9814,99,64.151,0.99,98.526,0.676,64.799,0.474,0.453,35.33,,0.6
ace,CompScore*,1.0,29.5,278,17051,171,82.246,0.982,55.91,0.645,48.097,0.369,0.358,29.5,,0.52
aces,CompScore*,1.0,32.25,441,25390,254,142.279,0.986,72.047,0.659,56.015,0.418,0.402,32.25,,0.66
ada,CompScore*,1.0,45.58,93,5527,56,42.949,0.995,192.291,0.73,76.695,0.59,0.571,45.58,,0.75
ada17,CompScore*,1.0,51.06,516,36010,361,264.128,0.995,187.552,0.755,73.166,0.607,0.598,51.06,,0.78
adrb1,CompScore*,1.0,26.27,247,15925,160,65.192,0.978,43.646,0.629,40.745,0.32,0.312,26.27,,0.48
adrb2,CompScore*,1.0,23.94,231,14649,147,55.494,0.974,37.852,0.617,37.751,0.292,0.285,23.94,,0.42
akt1,CompScore*,1.0,37.57,292,16176,162,109.867,0.991,114.639,0.686,67.819,0.499,0.477,37.57,,0.68
akt2,CompScore*,1.0,36.13,116,6745,68,42.253,0.989,93.78,0.68,62.136,0.469,0.452,36.13,,0.64
aldr,CompScore*,1.0,32.02,158,9054,91,50.849,0.986,71.304,0.659,55.878,0.417,0.401,32.02,,0.6
ampc,CompScore*,1.0,39.27,48,2866,29,19.073,0.991,112.802,0.697,65.77,0.505,0.489,39.27,,0.66
andr,CompScore*,1.0,30.14,178,10025,101,54.051,0.985,63.687,0.649,53.515,0.395,0.379,30.14,,0.54
aofb,CompScore*,1.0,21.69,121,6975,70,26.339,0.972,34.171,0.606,37.627,0.277,0.266,21.69,,0.4
bace1,CompScore*,1.0,17.47,280,17898,179,48.921,0.959,23.664,0.584,27.33,0.209,0.203,17.47,,0.32
braf,CompScore*,1.0,36.68,150,9887,99,55.092,0.988,81.449,0.681,55.649,0.445,0.436,36.68,,0.61
cah2,CompScore*,1.0,31.74,492,31266,313,156.331,0.984,62.414,0.656,49.946,0.391,0.381,31.74,,0.52
casp3,CompScore*,1.0,17.54,199,10828,109,35.137,0.962,25.408,0.585,32.236,0.228,0.218,17.54,,0.37
cdk2,CompScore*,1.0,27.36,471,27755,278,129.075,0.98,50.206,0.634,46.43,0.348,0.336,27.36,,0.47
comt,CompScore*,1.0,91.85,41,3872,39,37.931,1.0,3314.907,0.962,97.259,0.948,0.948,91.85,,0.99
cp2c9,CompScore*,1.0,15.05,120,7325,74,18.245,0.952,19.648,0.572,24.655,0.183,0.178,15.05,,0.25
cp3a4,CompScore*,1.0,14.04,160,11766,118,22.529,0.945,17.117,0.566,19.092,0.154,0.152,14.04,,0.26
csf1r,CompScore*,1.0,33.01,164,12006,121,54.56,0.983,59.297,0.664,45.091,0.38,0.376,33.01,,0.53
cxcr4,CompScore*,1.0,51.61,39,3413,35,20.641,0.992,124.361,0.762,58.974,0.554,0.553,51.61,,0.71
def,CompScore*,1.0,58.46,99,5758,58,58.298,1.0,-11199.226,0.794,100.513,0.767,0.739,58.46,,0.91
dhi1,CompScore*,1.0,19.94,329,19461,195,65.734,0.967,29.571,0.597,33.71,0.25,0.241,19.94,,0.35
dpp4,CompScore*,1.0,42.95,532,40888,409,228.561,0.99,96.088,0.713,55.883,0.484,0.48,42.95,,0.64
drd3,CompScore*,1.0,26.41,478,33326,334,126.52,0.977,41.905,0.629,37.88,0.308,0.303,26.41,,0.43
dyr,CompScore*,1.0,52.18,231,17074,171,120.719,0.994,175.059,0.76,70.596,0.603,0.596,52.18,,0.75
egfr,CompScore*,1.0,49.32,540,34875,349,266.519,0.995,205.455,0.746,76.366,0.609,0.595,49.32,,0.75
esr1,CompScore*,1.0,43.26,375,20175,202,162.426,0.995,216.71,0.716,80.409,0.585,0.557,43.26,,0.75
esr2,CompScore*,1.0,41.71,363,19336,194,151.908,0.995,188.632,0.708,78.303,0.567,0.539,41.71,,0.74
fa10,CompScore*,1.0,39.34,537,20046,201,211.825,1.001,-710.91,0.698,105.386,0.64,0.568,39.34,,0.73
fa7,CompScore*,1.0,55.5,114,6114,62,64.16,1.001,-1563.38,0.782,103.484,0.76,0.725,55.5,,0.95
fabp4,CompScore*,1.0,41.49,47,2518,26,20.135,0.994,180.506,0.713,77.444,0.57,0.546,41.49,,0.78
fak1,CompScore*,1.0,36.8,99,5388,54,36.513,0.991,111.552,0.683,67.617,0.493,0.47,36.8,,0.69
fgfr1,CompScore*,1.0,30.07,129,435,5,44.587,1.598,-2.672,0.738,891.731,2.035,0.658,30.07,,0.55
fkb1a,CompScore*,1.0,38.12,111,5887,59,42.407,0.993,132.985,0.69,71.876,0.518,0.492,38.12,,0.71
fnta,CompScore*,1.0,15.86,589,51372,514,93.466,0.95,19.163,0.575,18.184,0.161,0.161,15.86,,0.23
fpps,CompScore*,1.0,81.47,85,8817,89,69.901,0.997,375.992,0.91,82.237,0.802,0.802,81.47,,0.91
gcr,CompScore*,1.0,27.09,183,12612,127,49.921,0.978,43.987,0.633,39.308,0.319,0.314,27.09,,0.48
glcm,CompScore*,1.0,61.0,54,3834,39,33.507,0.998,427.0,0.81,85.915,0.727,0.717,61.0,,0.84
gria2,CompScore*,1.0,46.92,158,11662,117,74.375,0.992,127.045,0.734,63.569,0.542,0.536,46.92,,0.7
grik1,CompScore*,1.0,56.81,101,6620,67,58.071,0.998,419.801,0.787,86.674,0.702,0.688,56.81,,0.84
hdac2,CompScore*,1.0,42.19,180,10352,104,76.294,0.994,155.616,0.711,73.36,0.552,0.531,42.19,,0.74
hdac8,CompScore*,1.0,63.06,164,10481,105,103.606,1.0,4675.122,0.816,98.672,0.787,0.767,63.06,,0.9
hivint,CompScore*,1.0,16.99,100,6673,67,17.059,0.957,22.452,0.581,25.461,0.199,0.195,16.99,,0.32
hivpr,CompScore*,1.0,18.2,519,35905,360,94.708,0.961,24.34,0.587,26.308,0.21,0.206,18.2,,0.3
hivrt,CompScore*,1.0,21.77,337,18737,188,73.612,0.972,35.136,0.606,39.155,0.283,0.271,21.77,,0.43
hmdh,CompScore*,1.0,46.45,168,8878,89,78.229,0.997,376.563,0.732,87.898,0.635,0.604,46.45,,0.83
hs90a,CompScore*,1.0,47.44,86,4840,49,41.304,0.997,296.687,0.739,84.294,0.632,0.607,47.44,,0.77
hxk4,CompScore*,1.0,36.77,91,4720,48,34.028,0.992,123.884,0.685,70.891,0.508,0.483,36.77,,0.74
igf1r,CompScore*,1.0,32.14,147,9044,91,47.538,0.985,66.201,0.659,52.24,0.404,0.392,32.14,,0.54
inha,CompScore*,1.0,42.05,43,2329,24,18.633,0.995,184.557,0.715,77.636,0.574,0.55,42.05,,0.7
ital,CompScore*,1.0,24.63,136,8377,84,33.589,0.976,40.375,0.62,39.987,0.306,0.297,24.63,,0.46
jak2,CompScore*,1.0,47.35,106,6465,65,50.463,0.995,208.243,0.737,77.635,0.603,0.585,47.35,,0.8
kif11,CompScore*,1.0,51.34,116,6837,69,60.103,0.997,391.415,0.758,87.106,0.668,0.645,51.34,,0.84
kit,CompScore*,1.0,23.43,165,10323,104,38.948,0.974,36.859,0.615,37.45,0.288,0.281,23.43,,0.38
kith,CompScore*,1.0,50.91,57,2894,29,29.079,1.0,-18352.182,0.755,100.272,0.712,0.672,50.91,,0.96
kpcb,CompScore*,1.0,47.24,126,8611,87,60.138,0.993,150.759,0.737,69.124,0.569,0.559,47.24,,0.74
lck,CompScore*,1.0,36.99,416,27305,274,154.414,0.988,83.462,0.683,56.355,0.451,0.441,36.99,,0.61
lkha4,CompScore*,1.0,28.43,170,7992,80,48.379,0.986,70.398,0.64,60.474,0.407,0.379,28.43,,0.59
mapk2,CompScore*,1.0,61.13,100,6155,62,61.577,1.0,8812.908,0.808,99.318,0.779,0.757,61.13,,0.92
mcr,CompScore*,1.0,34.54,38,2490,25,13.178,0.986,71.927,0.671,52.712,0.42,0.411,34.54,,0.52
met,CompScore*,1.0,43.27,165,11027,111,71.868,0.992,120.902,0.716,64.746,0.525,0.515,43.27,,0.67
mk01,CompScore*,1.0,32.62,78,4485,45,25.529,0.987,74.077,0.661,56.73,0.423,0.408,32.62,,0.63
mk10,CompScore*,1.0,36.42,103,6558,66,37.753,0.988,83.759,0.681,57.201,0.451,0.44,36.42,,0.56
mk14,CompScore*,1.0,23.87,578,35731,358,138.235,0.975,38.256,0.616,38.613,0.295,0.287,23.87,,0.41
mmp13,CompScore*,1.0,38.29,567,37374,374,217.255,0.989,89.976,0.689,58.09,0.465,0.455,38.29,,0.68
mp2k1,CompScore*,1.0,23.27,120,8089,81,27.962,0.972,35.011,0.613,34.521,0.275,0.269,23.27,,0.4
nos1,CompScore*,1.0,44.44,100,8044,81,44.749,0.99,98.064,0.721,55.246,0.492,0.489,44.44,,0.68
nram,CompScore*,1.0,64.07,98,4300,43,62.789,1.007,-136.049,0.823,146.02,0.968,0.889,64.07,,0.95
pa2ga,CompScore*,1.0,40.93,98,5212,53,40.789,0.994,174.305,0.707,76.96,0.56,0.534,40.93,,0.73
parp1,CompScore*,1.0,58.26,507,30174,302,295.633,1.0,2716.84,0.791,97.892,0.753,0.727,58.26,,0.9
pde5a,CompScore*,1.0,34.09,379,27420,275,129.578,0.985,63.575,0.668,47.119,0.394,0.389,34.09,,0.56
pgh1,CompScore*,1.0,20.1,174,9195,92,34.993,0.97,31.824,0.597,38.036,0.267,0.253,20.1,,0.4
pgh2,CompScore*,1.0,32.26,365,17398,174,117.763,0.99,97.719,0.66,67.68,0.46,0.429,32.26,,0.63
plk1,CompScore*,1.0,42.29,106,6789,68,44.9,0.992,122.546,0.71,66.029,0.523,0.51,42.29,,0.7
pnph,CompScore*,1.0,65.13,103,7010,71,67.945,0.999,1491.505,0.83,95.697,0.792,0.778,65.13,,0.9
ppara,CompScore*,1.0,19.6,371,16295,163,72.738,0.972,34.589,0.595,44.625,0.285,0.262,19.6,,0.41
ppard,CompScore*,1.0,23.22,239,11497,115,55.51,0.978,43.954,0.613,48.27,0.325,0.304,23.22,,0.46
pparg,CompScore*,1.0,22.39,482,24949,250,108.14,0.975,38.696,0.609,43.256,0.302,0.286,22.39,,0.46
prgr,CompScore*,1.0,45.33,223,12892,129,101.149,0.995,206.325,0.726,78.41,0.591,0.569,45.33,,0.75
ptn1,CompScore*,1.0,38.85,128,7312,74,50.326,0.992,119.314,0.695,68.009,0.511,0.492,38.85,,0.7
pur2,CompScore*,1.0,54.66,50,2717,28,28.165,1.0,-9111.139,0.782,100.589,0.75,0.718,54.66,,0.97
pygm,CompScore*,1.0,16.49,77,3978,40,12.768,0.96,23.752,0.579,31.919,0.219,0.208,16.49,,0.55
pyrd,CompScore*,1.0,50.55,109,6070,61,55.372,0.998,538.039,0.754,90.773,0.675,0.647,50.55,,1.0
reni,CompScore*,1.0,41.99,104,7010,71,44.23,0.991,109.716,0.711,62.296,0.509,0.499,41.99,,0.66
rock1,CompScore*,1.0,40.83,99,6263,63,40.66,0.991,113.325,0.704,64.54,0.509,0.496,40.83,,0.68
rxra,CompScore*,1.0,53.25,113,4673,47,60.52,1.006,-180.636,0.769,128.766,0.829,0.753,53.25,,0.95
sahh,CompScore*,1.0,48.02,63,3477,35,30.453,0.997,362.908,0.741,87.008,0.644,0.617,48.02,,0.98
src,CompScore*,1.0,32.67,519,34158,342,169.766,0.985,63.886,0.661,49.639,0.396,0.387,32.67,,0.53
tgfr1,CompScore*,1.0,56.76,133,8465,85,75.803,0.998,516.338,0.784,89.18,0.71,0.692,56.76,,0.85
thb,CompScore*,1.0,53.38,97,4975,50,52.039,1.001,-1283.583,0.768,104.078,0.744,0.704,53.38,,0.81
thrb,CompScore*,1.0,45.92,452,26837,269,208.046,0.995,199.238,0.729,77.34,0.592,0.572,45.92,,0.76
try1,CompScore*,1.0,58.34,439,21780,218,256.348,1.003,-324.967,0.793,117.591,0.827,0.777,58.34,,0.91
tryb1,CompScore*,1.0,43.68,148,7660,77,64.984,0.996,274.498,0.719,84.395,0.604,0.572,43.68,,0.79
tysy,CompScore*,1.0,35.39,109,6758,68,38.815,0.988,81.127,0.676,57.081,0.444,0.432,35.39,,0.62
urok,CompScore*,1.0,60.94,162,9687,97,98.855,1.0,-3132.845,0.805,101.913,0.786,0.76,60.94,,0.93
vgfr2,CompScore*,1.0,26.78,379,17864,179,101.701,0.984,60.698,0.632,56.816,0.382,0.356,26.78,,0.48
wee1,CompScore*,1.0,61.16,102,6123,62,63.168,1.0,-3193.239,0.81,101.883,0.792,0.767,61.16,,1.0
xiap,CompScore*,1.0,52.3,99,5117,52,52.617,1.0,-4323.582,0.766,101.186,0.73,0.693,52.3,,0.96
ada,ESSENCE-DOCK*,1.0,11.9,93,5527,56,11.213,0.936,14.629,0.556,20.024,0.144,0.14,11.9,,
akt1,ESSENCE-DOCK*,1.0,2.7,292,16176,162,7.896,0.736,2.787,0.509,4.874,0.023,0.022,2.7,,
ampc,ESSENCE-DOCK*,1.0,2.1,48,2866,29,1.02,0.682,2.14,0.506,3.517,0.015,0.014,2.1,,
casp3,ESSENCE-DOCK*,1.0,9.5,199,10828,109,19.031,0.919,11.298,0.544,17.459,0.117,0.112,9.5,,
cp3a4,ESSENCE-DOCK*,1.0,1.8,160,11766,118,2.888,0.645,1.82,0.504,2.448,0.009,0.009,1.8,,
cxcr4,ESSENCE-DOCK*,1.0,0.0,39,3413,35,0.0,0.0,0.0,0.495,0.0,-0.011,-0.011,0.0,,
fa7,ESSENCE-DOCK*,1.0,17.4,114,6114,62,20.115,0.962,25.276,0.585,32.444,0.229,0.218,17.4,,
fabp4,ESSENCE-DOCK*,1.0,10.6,47,2518,26,5.144,0.928,12.968,0.551,19.786,0.135,0.129,10.6,,
fpps,ESSENCE-DOCK*,1.0,20.1,85,8817,89,17.246,0.961,24.691,0.597,20.289,0.19,0.19,20.1,,
gcr,ESSENCE-DOCK*,1.0,13.9,183,12612,127,25.614,0.945,17.159,0.566,20.169,0.158,0.155,13.9,,
glcm,ESSENCE-DOCK*,1.0,5.5,54,3834,39,3.021,0.855,5.878,0.523,7.746,0.055,0.054,5.5,,
hivpr,ESSENCE-DOCK*,1.0,9.7,519,35905,360,50.476,0.917,11.119,0.544,14.021,0.106,0.104,9.7,,
hivrt,ESSENCE-DOCK*,1.0,8.9,337,18737,188,30.094,0.912,10.406,0.54,16.007,0.108,0.103,8.9,,
hs90a,ESSENCE-DOCK*,1.0,8.0,86,4840,49,6.965,0.902,9.16,0.536,14.215,0.095,0.091,8.0,,
ital,ESSENCE-DOCK*,1.0,9.5,136,8377,84,12.955,0.917,11.05,0.543,15.423,0.11,0.107,9.5,,
kif11,ESSENCE-DOCK*,1.0,24.0,116,6837,69,28.097,0.975,39.799,0.618,40.72,0.305,0.295,24.0,,
mk14,ESSENCE-DOCK*,1.0,5.4,578,35731,358,31.272,0.853,5.821,0.522,8.735,0.057,0.055,5.4,,
nram,ESSENCE-DOCK*,1.0,17.3,98,4300,43,16.954,0.965,27.91,0.583,39.428,0.25,0.23,17.3,,
pa2ga,ESSENCE-DOCK*,1.0,25.5,98,5212,53,25.412,0.98,48.067,0.627,47.947,0.344,0.328,25.5,,
try1,ESSENCE-DOCK*,1.0,8.2,439,21780,218,36.031,0.906,9.626,0.537,16.528,0.104,0.098,8.2,,
wee1,ESSENCE-DOCK*,1.0,53.5,102,6123,62,55.256,0.998,483.669,0.77,89.123,0.691,0.67,53.5,,
aa2ar,SIEVE-Score,1.0,51.0,481,10862,109,246.168,1.027,-38.732,0.762,225.842,1.084,0.832,51.0,,
abl1,SIEVE-Score,1.0,34.4,180,9814,99,62.463,0.989,91.499,0.672,63.094,0.461,0.44,34.4,,
ace,SIEVE-Score,1.0,30.3,278,17051,171,84.476,0.983,58.907,0.649,49.401,0.38,0.368,30.3,,
aces,SIEVE-Score,1.0,35.3,441,25390,254,155.734,0.989,89.66,0.675,61.313,0.458,0.441,35.3,,
ada,SIEVE-Score,1.0,55.2,93,5527,56,52.014,0.999,762.473,0.779,92.882,0.717,0.694,55.2,,
ada17,SIEVE-Score,1.0,59.3,516,36010,361,306.753,0.997,388.97,0.796,84.973,0.707,0.696,59.3,,
adrb1,SIEVE-Score,1.0,42.1,247,15925,160,104.477,0.992,119.437,0.71,65.298,0.52,0.507,42.1,,
adrb2,SIEVE-Score,1.0,42.4,231,14649,147,98.285,0.992,125.927,0.711,66.861,0.528,0.514,42.4,,
akt1,SIEVE-Score,1.0,42.1,292,16176,162,123.114,0.994,172.225,0.71,75.997,0.56,0.536,42.1,,
akt2,SIEVE-Score,1.0,49.0,116,6745,68,57.303,0.997,306.146,0.746,84.27,0.641,0.618,49.0,,
aldr,SIEVE-Score,1.0,28.2,158,9054,91,44.782,0.982,54.555,0.639,49.211,0.365,0.351,28.2,,
ampc,SIEVE-Score,1.0,30.7,48,2866,29,14.911,0.984,62.132,0.653,51.417,0.392,0.379,30.7,,
andr,SIEVE-Score,1.0,40.5,178,10025,101,72.629,0.993,141.621,0.703,71.91,0.536,0.514,40.5,,
aofb,SIEVE-Score,1.0,14.2,121,6975,70,17.244,0.949,18.514,0.567,24.634,0.177,0.17,14.2,,
bace1,SIEVE-Score,1.0,36.6,280,17898,179,102.491,0.988,84.29,0.681,57.258,0.451,0.44,36.6,,
braf,SIEVE-Score,1.0,47.0,150,9887,99,70.593,0.994,161.311,0.734,71.306,0.574,0.562,47.0,,
cah2,SIEVE-Score,1.0,23.2,492,31266,313,114.268,0.973,35.965,0.613,36.507,0.282,0.275,23.2,,
casp3,SIEVE-Score,1.0,45.6,199,10828,109,91.347,0.996,276.393,0.729,83.805,0.615,0.588,45.6,,
cdk2,SIEVE-Score,1.0,34.8,471,27755,278,164.174,0.988,83.55,0.672,59.055,0.447,0.431,34.8,,
comt,SIEVE-Score,1.0,75.5,41,3872,39,31.179,0.997,372.493,0.879,79.946,0.777,0.777,75.5,,
