Target,Model,EF1,AUC_ROC,AUC,BEDROC,Source
fnta,X-Score,3.85,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fpps,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
gcr,X-Score,0.90,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
glcm,X-Score,18.01,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
gria2,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
grik1,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hdac2,X-Score,5.53,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hdac8,X-Score,3.87,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hivint,X-Score,4.98,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hivpr,X-Score,5.10,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hivrt,X-Score,1.72,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hmdh,X-Score,2.85,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hs90a,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hxk4,X-Score,0.82,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
igf1r,X-Score,2.65,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
inha,X-Score,7.32,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ital,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
jak2,X-Score,9.22,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kif11,X-Score,5.57,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kit,X-Score,6.45,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kith,X-Score,1.54,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kpcb,X-Score,8.36,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
lck,X-Score,2.10,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
lkha4,X-Score,7.07,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mapk2,X-Score,7.91,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mcr,X-Score,2.70,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
met,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mk01,X-Score,1.50,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mk10,X-Score,6.53,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mk14,X-Score,7.60,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mmp13,X-Score,3.73,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mp2k1,X-Score,1.67,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
nos1,X-Score,1.32,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
nram,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pa2ga,X-Score,1.60,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
parp1,X-Score,3.12,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pde5a,X-Score,0.87,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pgh1,X-Score,1.21,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pgh2,X-Score,1.32,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
plk1,X-Score,3.24,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pnph,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ppara,X-Score,6.10,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ppard,X-Score,1.06,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pparg,X-Score,4.55,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
prgr,X-Score,2.31,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ptn1,X-Score,9.33,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pur2,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pygm,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pyrd,X-Score,9.23,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
reni,X-Score,5.91,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
rock1,X-Score,0.50,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
rxra,X-Score,6.75,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
sahh,X-Score,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
src,X-Score,1.71,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
tgfr1,X-Score,2.53,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
thb,X-Score,2.41,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
thrb,X-Score,5.40,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
try1,X-Score,8.01,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
tryb1,X-Score,6.41,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
tysy,X-Score,1.32,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
urok,X-Score,0.69,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
vgfr2,X-Score,7.27,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
wee1,X-Score,49,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
xiap,X-Score,6.17,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
aa2ar,?vinaRF20,3.33,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
abl1,?vinaRF20,9.19,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ace,?vinaRF20,0.39,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
aces,?vinaRF20,7.50,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ada,?vinaRF20,3.08,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ada17,?vinaRF20,0.54,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
adrb1,?vinaRF20,5.49,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
adrb2,?vinaRF20,9.76,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
akt1,?vinaRF20,1.20,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
akt2,?vinaRF20,3.80,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
aldr,?vinaRF20,3.20,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ampc,?vinaRF20,1.77,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
andr,?vinaRF20,5.81,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
aofb,?vinaRF20,2.38,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
bace1,?vinaRF20,23.59,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
braf,?vinaRF20,12.10,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
cah2,?vinaRF20,8.20,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
casp3,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
cdk2,?vinaRF20,4.20,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
comt,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
cp2c9,?vinaRF20,3.89,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
cp3a4,?vinaRF20,3.65,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
csf1r,?vinaRF20,0.70,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
cxcr4,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
def,?vinaRF20,1.26,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
dhi1,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
dpp4,?vinaRF20,0.21,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
drd3,?vinaRF20,2.26,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
dyr,?vinaRF20,1.29,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
egfr,?vinaRF20,9.50,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
esr1,?vinaRF20,18.99,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
esr2,?vinaRF20,12.57,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fa10,?vinaRF20,1.95,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fa7,?vinaRF20,18.82,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fabp4,?vinaRF20,8.79,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fak1,?vinaRF20,0.87,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fgfr1,?vinaRF20,2.03,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fkb1a,?vinaRF20,8.83,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fnta,?vinaRF20,2.66,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
fpps,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
gcr,?vinaRF20,13.82,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
glcm,?vinaRF20,6.94,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
gria2,?vinaRF20,2.38,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
grik1,?vinaRF20,4.59,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hdac2,?vinaRF20,21.47,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hdac8,?vinaRF20,5.82,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hivint,?vinaRF20,2.09,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hivpr,?vinaRF20,1.33,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hivrt,?vinaRF20,2.03,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hmdh,?vinaRF20,2.07,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hs90a,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
hxk4,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
igf1r,?vinaRF20,10.14,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
inha,?vinaRF20,15.40,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ital,?vinaRF20,1.75,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
jak2,?vinaRF20,16.56,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kif11,?vinaRF20,26.98,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kit,?vinaRF20,20.76,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kith,?vinaRF20,3.99,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
kpcb,?vinaRF20,17.55,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
lck,?vinaRF20,2.83,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
lkha4,?vinaRF20,26.75,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mapk2,?vinaRF20,7.80,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mcr,?vinaRF20,10.91,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
met,?vinaRF20,23.33,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mk01,?vinaRF20,3.76,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mk10,?vinaRF20,2.80,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mk14,?vinaRF20,3.45,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mmp13,?vinaRF20,2.72,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
mp2k1,?vinaRF20,0.45,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
nos1,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
nram,?vinaRF20,0.46,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pa2ga,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
parp1,?vinaRF20,10.47,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pde5a,?vinaRF20,4.21,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pgh1,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pgh2,?vinaRF20,12.35,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
plk1,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pnph,?vinaRF20,3,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ppara,?vinaRF20,12.50,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ppard,?vinaRF20,1.85,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pparg,?vinaRF20,9.18,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
prgr,?vinaRF20,5.11,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
ptn1,?vinaRF20,18.32,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pur2,?vinaRF20,0.50,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pygm,?vinaRF20,2.64,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
pyrd,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
reni,?vinaRF20,11.28,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
rock1,?vinaRF20,11.91,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
rxra,?vinaRF20,7.37,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
sahh,?vinaRF20,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
src,?vinaRF20,0.36,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
tgfr1,?vinaRF20,10.99,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
thb,?vinaRF20,7.14,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
thrb,?vinaRF20,8.29,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
try1,?vinaRF20,2.33,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
tryb1,?vinaRF20,3.47,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
tysy,?vinaRF20,19.39,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
urok,?vinaRF20,3.13,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
vgfr2,?vinaRF20,6.70,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
wee1,?vinaRF20,12.04,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
xiap,?vinaRF20,1.60,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1
aa2ar,OnionNet-SCFT+Vina,0.62,,0.58,,https://doi.org/10.1093/bib/bbac051
abl1,OnionNet-SCFT+Vina,3.86,,0.58,,https://doi.org/10.1093/bib/bbac051
ace,OnionNet-SCFT+Vina,14.32,,0.73,,https://doi.org/10.1093/bib/bbac051
aces,OnionNet-SCFT+Vina,6.84,,0.62,,https://doi.org/10.1093/bib/bbac051
ada,OnionNet-SCFT+Vina,9.75,,0.75,,https://doi.org/10.1093/bib/bbac051
ada17,OnionNet-SCFT+Vina,10.16,,0.66,,https://doi.org/10.1093/bib/bbac051
adrb1,OnionNet-SCFT+Vina,6.88,,0.78,,https://doi.org/10.1093/bib/bbac051
adrb2,OnionNet-SCFT+Vina,13.87,,0.78,,https://doi.org/10.1093/bib/bbac051
akt1,OnionNet-SCFT+Vina,4.10,,0.67,,https://doi.org/10.1093/bib/bbac051
akt2,OnionNet-SCFT+Vina,23.11,,0.61,,https://doi.org/10.1093/bib/bbac051
aldr,OnionNet-SCFT+Vina,13.14,,0.76,,https://doi.org/10.1093/bib/bbac051
ampc,OnionNet-SCFT+Vina,0,,0.73,,https://doi.org/10.1093/bib/bbac051
andr,OnionNet-SCFT+Vina,21.58,,0.63,,https://doi.org/10.1093/bib/bbac051
aofb,OnionNet-SCFT+Vina,4.11,,0.74,,https://doi.org/10.1093/bib/bbac051
bace1,OnionNet-SCFT+Vina,16.22,,0.82,,https://doi.org/10.1093/bib/bbac051
braf,OnionNet-SCFT+Vina,21.70,,0.85,,https://doi.org/10.1093/bib/bbac051
cah2,OnionNet-SCFT+Vina,40.68,,0.77,,https://doi.org/10.1093/bib/bbac051
casp3,OnionNet-SCFT+Vina,1.01,,0.66,,https://doi.org/10.1093/bib/bbac051
cdk2,OnionNet-SCFT+Vina,13.29,,0.76,,https://doi.org/10.1093/bib/bbac051
comt,OnionNet-SCFT+Vina,0,,0.62,,https://doi.org/10.1093/bib/bbac051
cp2c9,OnionNet-SCFT+Vina,3.32,,0.67,,https://doi.org/10.1093/bib/bbac051
cp3a4,OnionNet-SCFT+Vina,1.19,,0.60,,https://doi.org/10.1093/bib/bbac051
csf1r,OnionNet-SCFT+Vina,6.03,,0.56,,https://doi.org/10.1093/bib/bbac051
cxcr4,OnionNet-SCFT+Vina,7.60,,0.80,,https://doi.org/10.1093/bib/bbac051
def,OnionNet-SCFT+Vina,0,,0.55,,https://doi.org/10.1093/bib/bbac051
dhi1,OnionNet-SCFT+Vina,2.72,,0.71,,https://doi.org/10.1093/bib/bbac051
dpp4,OnionNet-SCFT+Vina,10.52,,0.67,,https://doi.org/10.1093/bib/bbac051
drd3,OnionNet-SCFT+Vina,2.09,,0.68,,https://doi.org/10.1093/bib/bbac051
dyr,OnionNet-SCFT+Vina,25.97,,0.91,,https://doi.org/10.1093/bib/bbac051
egfr,OnionNet-SCFT+Vina,11.61,,0.72,,https://doi.org/10.1093/bib/bbac051
esr1,OnionNet-SCFT+Vina,30.35,,0.81,,https://doi.org/10.1093/bib/bbac051
esr2,OnionNet-SCFT+Vina,26.77,,0.78,,https://doi.org/10.1093/bib/bbac051
fa10,OnionNet-SCFT+Vina,25.65,,0.84,,https://doi.org/10.1093/bib/bbac051
fa7,OnionNet-SCFT+Vina,52.29,,0.96,,https://doi.org/10.1093/bib/bbac051
fabp4,OnionNet-SCFT+Vina,36.12,,0.88,,https://doi.org/10.1093/bib/bbac051
fak1,OnionNet-SCFT+Vina,13.12,,0.74,,https://doi.org/10.1093/bib/bbac051
fgfr1,OnionNet-SCFT+Vina,1.36,,0.53,,https://doi.org/10.1093/bib/bbac051
fkb1a,OnionNet-SCFT+Vina,9.93,,0.74,,https://doi.org/10.1093/bib/bbac051
fnta,OnionNet-SCFT+Vina,4.22,,0.55,,https://doi.org/10.1093/bib/bbac051
fpps,OnionNet-SCFT+Vina,0,,0.52,,https://doi.org/10.1093/bib/bbac051
gcr,OnionNet-SCFT+Vina,17.49,,0.64,,https://doi.org/10.1093/bib/bbac051
glcm,OnionNet-SCFT+Vina,1.83,,0.56,,https://doi.org/10.1093/bib/bbac051
gria2,OnionNet-SCFT+Vina,14.04,,0.79,,https://doi.org/10.1093/bib/bbac051
grik1,OnionNet-SCFT+Vina,11.97,,0.77,,https://doi.org/10.1093/bib/bbac051
hdac2,OnionNet-SCFT+Vina,0,,0.65,,https://doi.org/10.1093/bib/bbac051
hdac8,OnionNet-SCFT+Vina,2.36,,0.67,,https://doi.org/10.1093/bib/bbac051
hivint,OnionNet-SCFT+Vina,5.03,,0.80,,https://doi.org/10.1093/bib/bbac051
hivpr,OnionNet-SCFT+Vina,4.11,,0.66,,https://doi.org/10.1093/bib/bbac051
hivrt,OnionNet-SCFT+Vina,10.10,,0.72,,https://doi.org/10.1093/bib/bbac051
hmdh,OnionNet-SCFT+Vina,35.35,,0.94,,https://doi.org/10.1093/bib/bbac051
hs90a,OnionNet-SCFT+Vina,0,,0.55,,https://doi.org/10.1093/bib/bbac051
hxk4,OnionNet-SCFT+Vina,6.51,,0.49,,https://doi.org/10.1093/bib/bbac051
igf1r,OnionNet-SCFT+Vina,16.28,,0.70,,https://doi.org/10.1093/bib/bbac051
inha,OnionNet-SCFT+Vina,4.74,,0.76,,https://doi.org/10.1093/bib/bbac051
ital,OnionNet-SCFT+Vina,0.73,,0.63,,https://doi.org/10.1093/bib/bbac051
jak2,OnionNet-SCFT+Vina,27.11,,0.74,,https://doi.org/10.1093/bib/bbac051
kif11,OnionNet-SCFT+Vina,42.88,,0.91,,https://doi.org/10.1093/bib/bbac051
kit,OnionNet-SCFT+Vina,7.24,,0.59,,https://doi.org/10.1093/bib/bbac051
kith,OnionNet-SCFT+Vina,28.14,,0.89,,https://doi.org/10.1093/bib/bbac051
kpcb,OnionNet-SCFT+Vina,38.64,,0.78,,https://doi.org/10.1093/bib/bbac051
lck,OnionNet-SCFT+Vina,15.47,,0.68,,https://doi.org/10.1093/bib/bbac051
lkha4,OnionNet-SCFT+Vina,26.37,,0.91,,https://doi.org/10.1093/bib/bbac051
mapk2,OnionNet-SCFT+Vina,27.94,,0.75,,https://doi.org/10.1093/bib/bbac051
mcr,OnionNet-SCFT+Vina,7.50,,0.58,,https://doi.org/10.1093/bib/bbac051
met,OnionNet-SCFT+Vina,6.03,,0.76,,https://doi.org/10.1093/bib/bbac051
mk01,OnionNet-SCFT+Vina,20.37,,0.61,,https://doi.org/10.1093/bib/bbac051
mk10,OnionNet-SCFT+Vina,7.70,,0.65,,https://doi.org/10.1093/bib/bbac051
mk14,OnionNet-SCFT+Vina,6.57,,0.63,,https://doi.org/10.1093/bib/bbac051
mmp13,OnionNet-SCFT+Vina,13.11,,0.70,,https://doi.org/10.1093/bib/bbac051
mp2k1,OnionNet-SCFT+Vina,0.82,,0.58,,https://doi.org/10.1093/bib/bbac051
nos1,OnionNet-SCFT+Vina,0,,0.57,,https://doi.org/10.1093/bib/bbac051
nram,OnionNet-SCFT+Vina,3.06,,0.76,,https://doi.org/10.1093/bib/bbac051
pa2ga,OnionNet-SCFT+Vina,37.70,,0.79,,https://doi.org/10.1093/bib/bbac051
parp1,OnionNet-SCFT+Vina,24.44,,0.93,,https://doi.org/10.1093/bib/bbac051
pde5a,OnionNet-SCFT+Vina,7.54,,0.70,,https://doi.org/10.1093/bib/bbac051
pgh1,OnionNet-SCFT+Vina,7.69,,0.63,,https://doi.org/10.1093/bib/bbac051
pgh2,OnionNet-SCFT+Vina,2.53,,0.65,,https://doi.org/10.1093/bib/bbac051
plk1,OnionNet-SCFT+Vina,0.94,,0.63,,https://doi.org/10.1093/bib/bbac051
pnph,OnionNet-SCFT+Vina,49.19,,0.97,,https://doi.org/10.1093/bib/bbac051
ppara,OnionNet-SCFT+Vina,24.43,,0.91,,https://doi.org/10.1093/bib/bbac051
ppard,OnionNet-SCFT+Vina,7.89,,0.78,,https://doi.org/10.1093/bib/bbac051
pparg,OnionNet-SCFT+Vina,23.38,,0.87,,https://doi.org/10.1093/bib/bbac051
prgr,OnionNet-SCFT+Vina,11.23,,0.64,,https://doi.org/10.1093/bib/bbac051
ptn1,OnionNet-SCFT+Vina,29.89,,0.78,,https://doi.org/10.1093/bib/bbac051
pur2,OnionNet-SCFT+Vina,54.88,,0.99,,https://doi.org/10.1093/bib/bbac051
