clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,drd3,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,pnph,prgr,ptn1,pyrd,reni,urok,xiap,Average
spyRMSD,method6,AD4_SCORCH,3.29,4.97,0.63,1.49,4.43,2.06,4.55,1.94,12.11,2.35,12.35,2.09,0.0,0.0,0.0,0.59,1.14,6.5,0.0,0.0,0.0,2.18,0.59,1.02,8.77,1.71,13.77,0.0,6.76,12.92,0.0,3.490645161290322
spyRMSD,method7,AD4_SCORCH,3.29,4.97,1.26,2.61,2.74,1.03,5.46,2.5,11.67,2.35,10.58,2.09,0.63,1.08,0.0,0.59,1.14,5.42,0.0,0.0,2.23,2.18,1.76,2.04,3.9,1.03,13.77,0.0,11.59,11.69,0.0,3.535483870967742
spyRMSD,method1,RFScoreVS_RTMScore,31.24,19.87,25.92,17.53,21.5,14.92,8.8,4.17,38.48,37.63,53.81,6.27,26.67,4.31,16.66,29.42,29.7,1.08,30.43,7.03,43.8,15.27,15.25,16.3,42.87,17.12,39.02,29.04,10.62,41.84,44.3,23.899032258064512
spyRMSD,method2,RFScoreVS_RTMScore,40.01,19.51,19.6,27.6,20.02,10.8,15.77,4.72,31.56,35.27,43.22,18.82,15.87,2.69,13.33,33.54,21.7,0.0,39.89,19.32,28.95,21.82,20.53,10.19,41.9,22.26,36.72,37.2,15.45,32.0,38.26,23.823225806451617
spyRMSD,method3,RFScoreVS_RTMScore,23.02,14.9,8.22,19.02,13.91,7.2,10.62,4.44,18.16,12.8,19.41,12.55,8.89,7.01,16.66,23.54,3.43,0.0,27.05,14.05,23.76,5.09,19.94,3.06,10.72,13.35,27.54,38.11,8.69,16.0,26.18,14.752258064516132
spyRMSD,method4,RFScoreVS_RTMScore,14.25,14.19,5.69,15.29,12.65,4.63,9.71,4.44,16.86,9.41,19.41,12.55,8.25,6.47,16.66,19.42,2.28,0.0,24.34,12.3,25.24,3.64,19.94,4.08,10.72,12.67,27.54,38.11,9.66,15.38,26.18,13.61161290322581
spyRMSD,method5,RFScoreVS_RTMScore,37.27,18.8,10.12,20.89,17.91,10.8,14.26,5.56,27.24,32.14,41.46,12.55,15.24,3.23,13.33,31.19,18.27,0.0,35.84,15.81,29.69,12.36,20.53,4.08,33.13,16.44,32.13,36.3,12.55,30.15,35.24,20.790645161290318
spyRMSD,method6,RFScoreVS_RTMScore,35.63,16.67,26.55,29.84,22.76,20.06,23.66,7.22,43.67,43.64,51.16,16.73,30.48,3.23,23.33,41.78,26.27,1.08,37.87,47.43,43.06,32.0,22.29,29.54,55.54,30.82,37.49,41.74,14.48,40.0,39.26,30.17032258064516
spyRMSD,method7,RFScoreVS_RTMScore,38.37,18.09,26.55,33.57,19.39,14.92,21.84,7.22,40.21,41.28,48.51,16.73,19.05,4.85,23.33,41.78,15.99,1.08,41.25,45.68,33.41,28.36,22.87,20.38,50.67,30.82,37.49,43.56,15.45,33.23,37.25,28.16709677419355
spyRMSD,method1,RFScoreVS_SCORCH,24.12,24.83,10.12,23.87,16.65,13.89,18.2,6.39,38.48,21.95,43.22,8.36,15.87,0.54,13.33,27.07,1.14,14.08,19.61,0.0,32.66,11.64,12.9,21.39,41.9,18.49,25.25,19.06,17.38,38.76,17.11,19.29870967741935
spyRMSD,method2,RFScoreVS_SCORCH,29.6,13.48,10.12,28.72,13.07,8.23,19.72,7.5,32.43,31.35,36.16,10.46,9.52,1.08,10.0,23.54,0.0,9.75,31.1,15.81,19.3,15.27,17.59,20.38,29.23,16.44,25.25,32.67,15.45,27.07,17.11,18.625806451612906
spyRMSD,method3,RFScoreVS_SCORCH,25.76,11.71,13.28,22.75,12.01,6.69,16.69,8.06,24.65,23.52,18.52,10.46,5.08,10.24,6.67,20.6,0.0,5.42,22.99,17.57,14.85,6.55,13.49,17.32,18.51,14.38,21.42,20.87,16.41,21.54,17.11,15.003870967741937
spyRMSD,method4,RFScoreVS_SCORCH,18.64,19.16,12.01,21.63,14.33,7.72,17.29,6.67,25.51,21.69,20.29,8.36,2.54,9.16,10.0,26.48,1.14,13.0,14.88,5.27,23.76,4.36,9.97,20.38,19.49,12.33,21.42,7.26,20.28,19.07,15.1,14.49
spyRMSD,method5,RFScoreVS_SCORCH,26.86,9.58,4.43,16.78,15.6,5.14,17.6,6.95,26.81,25.35,31.75,10.46,8.25,0.54,10.0,14.12,1.14,7.58,25.02,10.54,19.3,9.45,15.25,17.32,23.38,7.88,20.66,24.5,13.52,29.53,13.09,15.109032258064518
spyRMSD,method6,RFScoreVS_SCORCH,24.12,15.26,19.6,22.38,9.48,15.43,19.72,5.0,38.05,37.36,46.75,8.36,11.43,0.0,10.0,27.66,3.43,9.75,12.85,35.14,23.76,20.36,9.38,18.34,45.79,27.39,27.54,34.48,7.72,32.0,18.12,20.537096774193547
spyRMSD,method7,RFScoreVS_SCORCH,32.34,13.13,17.7,27.23,13.07,11.83,20.63,4.72,38.48,35.8,40.58,10.46,10.79,0.54,10.0,28.83,3.43,7.58,27.05,33.38,20.04,21.09,14.66,19.36,39.95,24.31,26.01,38.11,11.59,28.92,22.15,21.089032258064513
spyRMSD,method1,RTMScore_SCORCH,18.64,14.55,1.26,5.22,17.07,6.69,5.16,1.94,28.97,6.79,43.22,2.09,9.52,4.85,6.67,10.59,6.85,2.17,2.7,0.0,28.95,5.82,5.28,9.17,27.28,5.14,25.25,10.89,7.72,35.69,11.07,11.845483870967744
spyRMSD,method2,RTMScore_SCORCH,12.06,7.45,1.26,4.85,9.48,3.6,6.07,3.33,21.62,5.49,25.58,0.0,2.54,3.23,0.0,4.12,3.43,6.5,3.38,0.0,20.79,4.36,4.11,12.23,10.72,2.4,25.25,9.07,6.76,20.92,16.11,8.280967741935486
spyRMSD,method3,RTMScore_SCORCH,7.67,2.48,0.63,5.22,7.8,1.54,6.98,3.89,14.27,3.4,9.7,4.18,2.54,2.16,0.0,8.83,1.14,4.33,4.73,0.0,18.56,0.73,4.11,5.09,2.92,4.11,19.89,6.35,5.79,12.92,12.08,5.936774193548387
spyRMSD,method4,RTMScore_SCORCH,6.58,7.1,0.63,4.1,8.22,1.54,11.53,3.61,18.59,2.35,8.82,2.09,0.63,2.69,3.33,14.71,2.28,5.42,4.73,0.0,20.79,1.45,5.28,3.06,2.92,2.74,18.36,6.35,6.76,15.38,11.07,6.551935483870968
spyRMSD,method5,RTMScore_SCORCH,10.96,5.32,0.63,4.85,9.27,3.6,6.67,3.06,22.92,3.4,18.52,2.09,3.17,3.23,0.0,3.53,3.43,3.25,2.03,0.0,20.79,2.91,5.28,8.15,6.82,2.4,19.13,9.07,7.72,20.31,10.07,7.18
spyRMSD,method6,RTMScore_SCORCH,10.96,4.97,0.63,2.98,8.43,2.57,5.46,2.22,18.59,2.61,29.99,2.09,0.63,0.0,0.0,0.59,0.0,8.67,6.09,0.0,15.59,2.18,2.35,1.02,8.77,1.71,15.3,3.63,2.9,16.0,1.01,5.74
spyRMSD,method7,RTMScore_SCORCH,7.67,3.9,1.26,3.73,6.96,1.54,6.37,2.78,19.02,1.83,19.41,2.09,0.63,2.16,0.0,0.59,1.14,7.58,4.73,0.0,16.33,3.64,2.35,3.06,6.82,1.03,16.83,2.72,7.72,15.38,4.03,5.590322580645161
spyRMSD,method1,AD4_RTMScore_SCORCH,16.99,14.19,5.69,2.98,14.96,5.66,4.55,2.22,22.05,11.24,44.1,2.09,7.62,6.47,3.33,9.41,3.43,0.0,14.88,1.76,25.24,3.64,15.84,5.09,26.31,5.14,27.54,8.17,11.59,24.61,15.1,11.673870967741937
spyRMSD,method2,AD4_RTMScore_SCORCH,16.44,13.84,3.16,4.85,10.54,4.12,4.85,2.78,16.86,6.79,32.64,6.27,6.98,5.93,0.0,5.3,1.14,2.17,14.2,3.51,22.27,1.45,19.94,3.06,15.59,5.48,24.48,6.35,12.55,17.84,19.13,10.016451612903223
spyRMSD,method3,AD4_RTMScore_SCORCH,7.13,6.39,2.53,4.48,6.11,1.03,3.94,3.61,10.81,3.4,14.11,4.18,3.17,2.69,0.0,12.36,1.14,1.08,8.79,0.0,17.82,0.73,13.49,1.02,0.97,5.48,21.42,3.63,12.55,11.08,15.1,6.459354838709678
spyRMSD,method4,AD4_RTMScore_SCORCH,10.41,12.42,1.26,2.24,6.96,2.06,9.71,2.22,12.11,2.35,14.11,4.18,1.27,3.23,0.0,15.3,1.14,2.17,9.47,1.76,19.3,2.18,15.84,1.02,2.92,4.79,19.89,5.44,13.52,11.08,13.09,7.20774193548387
spyRMSD,method5,AD4_RTMScore_SCORCH,15.35,12.42,1.26,4.48,8.85,3.6,5.46,3.06,11.67,5.49,29.99,4.18,5.71,5.39,0.0,5.3,2.28,3.25,9.47,1.76,21.53,1.45,17.01,2.04,12.67,6.51,25.25,9.98,10.62,17.84,18.12,9.096451612903225
spyRMSD,method6,AD4_RTMScore_SCORCH,12.06,8.51,1.26,2.61,10.33,3.09,5.76,1.94,20.75,2.61,32.64,2.09,1.27,0.0,0.0,0.59,0.0,9.75,9.47,0.0,19.3,3.64,2.93,6.11,9.74,1.71,17.6,4.54,4.83,18.46,4.03,7.0200000000000005
spyRMSD,method7,AD4_RTMScore_SCORCH,8.77,12.77,0.63,2.61,9.27,1.54,7.58,2.5,19.89,1.83,24.7,2.09,0.63,3.23,0.0,0.59,2.28,7.58,8.11,0.0,18.56,2.91,3.52,1.02,6.82,1.03,18.36,2.72,12.55,17.84,13.09,6.936129032258065
spyRMSD,method1,RFScoreVS_RTMScore_SCORCH,30.7,27.67,15.81,17.16,26.13,13.89,12.44,5.28,43.67,36.84,50.28,8.36,28.57,4.31,10.0,31.78,25.13,4.33,25.69,3.51,43.06,13.82,16.42,22.41,47.74,18.49,35.96,30.85,17.38,48.61,41.28,24.437741935483874
spyRMSD,method2,RFScoreVS_RTMScore_SCORCH,33.98,22.0,5.69,21.26,21.92,9.26,19.42,5.28,36.75,33.18,42.34,12.55,15.24,3.23,13.33,32.95,14.85,5.42,33.13,15.81,31.92,11.64,16.42,19.36,33.13,17.46,33.66,37.2,13.52,36.92,33.22,22.001290322580644
spyRMSD,method3,RFScoreVS_RTMScore_SCORCH,16.99,16.67,5.06,16.78,13.07,3.6,15.47,4.72,22.92,14.63,19.41,12.55,8.89,4.85,10.0,25.3,2.28,5.42,20.29,12.3,25.24,3.64,19.35,11.21,4.87,14.38,25.25,34.48,15.45,18.46,20.13,14.311612903225807
spyRMSD,method4,RFScoreVS_RTMScore_SCORCH,16.44,21.64,2.53,17.53,14.54,4.12,16.08,3.89,24.65,9.93,22.05,14.64,3.17,5.93,13.33,34.13,1.14,6.5,18.93,10.54,28.21,7.27,15.25,15.28,16.56,9.93,26.01,22.69,19.31,22.77,22.15,15.069032258064516
spyRMSD,method5,RFScoreVS_RTMScore_SCORCH,29.05,18.45,4.43,16.78,19.18,6.69,16.08,5.56,35.02,27.44,40.58,10.46,12.7,3.77,13.33,29.42,10.28,5.42,25.69,12.3,31.92,10.18,17.01,17.32,26.31,14.72,29.84,34.48,14.48,36.92,30.2,19.548709677419357
spyRMSD,method6,RFScoreVS_RTMScore_SCORCH,25.76,19.16,20.23,24.24,19.6,16.98,20.93,5.83,43.67,40.24,52.04,10.46,18.41,0.0,13.33,37.66,9.14,9.75,25.69,35.14,39.34,19.64,13.49,24.45,47.74,27.39,32.13,38.11,14.48,36.3,27.18,24.79064516129032
spyRMSD,method7,RFScoreVS_RTMScore_SCORCH,32.34,15.26,14.54,27.6,17.91,11.83,20.93,5.83,41.51,36.58,47.63,12.55,10.79,2.16,13.33,32.95,8.0,7.58,31.1,36.89,31.92,19.64,19.35,19.36,39.95,22.6,31.37,41.74,14.48,31.38,29.2,23.493548387096777
espsim,method1,AD4_CHEMPLP,3.84,10.64,5.69,1.49,2.53,1.54,1.82,2.58,0.43,3.66,5.29,2.09,4.44,7.55,0.0,4.12,1.14,0.0,8.11,17.56,8.91,0.73,15.25,4.08,4.87,3.77,10.71,1.81,8.69,3.08,3.02,4.820645161290323
espsim,method2,AD4_CHEMPLP,7.67,12.77,5.69,0.37,2.74,0.51,1.21,1.64,1.3,4.44,8.82,2.09,4.44,9.7,0.0,4.71,2.28,0.0,7.44,19.32,9.65,0.73,18.77,2.04,7.79,2.74,16.06,1.81,6.76,4.31,3.02,5.510322580645161
espsim,method3,AD4_CHEMPLP,6.58,11.35,4.43,0.0,2.74,0.0,1.52,1.88,0.0,3.66,3.53,2.09,4.44,9.7,0.0,4.71,2.28,0.0,2.7,19.32,8.16,0.73,18.77,2.04,8.77,1.71,12.24,1.81,6.76,3.08,5.03,4.839677419354839
espsim,method4,AD4_CHEMPLP,6.58,11.71,5.06,0.0,2.74,0.0,1.52,0.7,0.0,3.66,3.53,2.09,3.17,9.7,0.0,4.71,2.28,0.0,2.7,19.32,8.16,0.73,18.18,3.06,8.77,1.71,12.24,1.81,6.76,3.08,5.03,4.806451612903226
espsim,method5,AD4_CHEMPLP,6.03,11.35,7.59,0.37,2.11,0.0,1.52,1.41,0.0,3.66,9.7,2.09,3.81,9.16,0.0,5.88,2.28,0.0,4.06,22.83,8.16,0.73,18.18,3.06,6.82,2.05,13.0,1.81,6.76,6.15,3.02,5.2770967741935495
espsim,method6,AD4_CHEMPLP,2.74,11.35,10.75,1.86,1.9,0.51,1.52,2.35,0.43,5.49,3.53,4.18,3.81,7.55,0.0,5.88,1.14,0.0,7.44,19.32,9.65,0.73,17.01,3.06,5.85,4.11,15.3,1.81,8.69,4.31,3.02,5.331935483870969
espsim,method7,AD4_CHEMPLP,5.48,12.06,9.48,0.0,1.9,0.0,1.52,1.41,0.43,3.92,7.06,2.09,3.17,9.16,0.0,5.88,2.28,0.0,4.06,22.83,9.65,0.73,18.18,3.06,8.77,2.74,16.06,1.81,6.76,3.08,5.03,5.4387096774193555
espsim,method1,AD4_LinF9,6.58,7.1,3.79,2.61,2.11,2.06,1.21,2.58,9.94,2.87,12.35,12.55,3.17,2.69,0.0,2.94,0.0,0.0,13.52,19.32,11.13,1.45,11.73,0.0,4.87,4.11,14.53,1.81,2.9,2.46,2.01,5.302903225806452
espsim,method2,AD4_LinF9,10.96,8.16,3.79,1.86,3.16,0.51,1.52,1.41,6.48,3.4,15.0,6.27,3.81,3.77,0.0,2.94,0.0,0.0,12.17,15.81,13.36,2.18,14.08,1.02,4.87,5.14,18.36,0.91,4.83,2.46,2.01,5.491612903225806
espsim,method3,AD4_LinF9,11.51,5.68,2.53,1.86,3.58,1.54,1.52,1.41,2.59,2.35,11.47,4.18,2.54,4.31,0.0,3.53,0.0,0.0,6.76,14.05,12.62,2.91,11.73,1.02,6.82,4.79,15.3,2.72,6.76,2.46,2.01,4.856451612903225
espsim,method4,AD4_LinF9,11.51,5.68,2.53,1.49,3.58,1.54,1.52,1.17,2.59,2.35,11.47,4.18,2.54,4.31,0.0,3.53,0.0,0.0,7.44,14.05,12.62,2.91,11.14,1.02,6.82,5.14,14.53,2.72,6.76,1.85,3.02,4.839032258064515
espsim,method5,AD4_LinF9,10.96,7.1,3.79,1.86,3.16,0.51,1.21,1.17,4.32,3.92,13.23,4.18,2.54,4.85,5.58,4.12,0.0,0.0,12.85,15.81,11.88,2.91,14.08,1.02,7.79,5.48,17.59,2.72,3.86,2.46,2.01,5.579354838709678
espsim,method6,AD4_LinF9,3.84,7.1,5.06,3.36,2.11,1.03,1.21,2.58,8.21,2.87,12.35,8.36,3.81,1.62,0.0,2.35,0.0,0.0,13.52,26.34,15.59,1.45,9.38,0.0,4.87,4.45,15.3,4.54,3.86,1.85,4.03,5.51741935483871
espsim,method7,AD4_LinF9,10.42,7.45,5.06,2.61,2.74,1.03,1.21,1.17,4.32,2.61,12.35,8.36,2.54,5.39,0.0,2.94,0.0,0.0,12.85,19.32,12.62,2.91,10.56,1.02,5.85,5.14,16.83,6.35,5.79,1.85,2.01,5.590322580645159
espsim,method1,AD4_RTMScore,14.25,6.03,3.79,2.24,6.95,5.14,1.52,3.75,12.1,3.66,20.29,14.64,6.98,3.77,5.58,21.77,2.28,0.0,14.2,5.27,18.55,2.91,9.97,1.02,10.72,6.85,21.42,1.81,4.83,9.23,9.06,8.083225806451614
espsim,method2,AD4_RTMScore,16.45,8.51,5.69,2.98,6.53,3.6,1.21,2.35,6.48,4.7,18.52,12.55,5.08,5.39,5.58,17.65,2.28,0.0,10.82,10.54,17.07,4.36,14.66,1.02,8.77,6.51,20.65,1.81,4.83,8.61,12.08,7.976774193548389
espsim,method3,AD4_RTMScore,10.42,4.61,5.06,2.24,4.85,1.54,2.43,2.35,3.89,2.61,12.35,10.46,3.17,3.23,0.0,9.41,2.28,0.0,5.41,7.02,15.59,2.91,12.32,0.0,2.92,6.16,15.3,3.63,4.83,4.92,4.03,5.352903225806451
espsim,method4,AD4_RTMScore,7.13,4.26,5.06,1.86,4.85,1.54,2.12,1.88,3.89,2.61,12.35,10.46,3.17,3.23,0.0,9.41,2.28,0.0,5.41,7.02,15.59,2.91,11.73,0.0,1.95,6.16,14.53,3.63,4.83,5.54,4.03,5.142903225806451
espsim,method5,AD4_RTMScore,13.7,7.81,7.59,3.36,6.74,2.57,1.52,2.82,5.62,3.4,21.17,16.73,6.35,6.47,5.58,12.95,3.43,0.0,10.82,8.78,17.81,2.18,9.38,0.0,5.85,6.16,22.18,3.63,3.86,7.38,13.09,7.70741935483871
espsim,method6,AD4_RTMScore,14.8,7.1,2.53,3.36,8.43,6.17,1.21,3.28,18.59,9.41,22.05,16.73,6.98,3.23,11.17,23.54,12.56,0.0,11.5,1.76,21.52,2.91,5.86,0.0,16.56,5.82,23.71,2.72,3.86,15.38,20.13,9.77
espsim,method7,AD4_RTMScore,13.16,6.39,7.59,3.73,8.22,2.06,1.52,3.28,10.38,3.14,20.29,16.73,4.44,3.77,5.58,14.12,3.43,0.0,10.82,5.27,19.3,2.91,7.62,0.0,1.95,6.85,20.65,1.81,5.79,11.08,14.09,7.611935483870968
espsim,method1,AD4_SCORCH,12.06,9.22,0.0,2.61,6.53,4.12,6.98,3.75,20.75,2.87,8.82,0.0,2.54,4.31,0.0,2.35,0.0,0.0,8.79,5.27,5.94,2.91,9.38,0.0,9.74,4.11,19.89,0.91,10.62,8.61,2.01,5.648064516129032
espsim,method2,AD4_SCORCH,9.87,7.1,0.0,2.24,4.85,1.03,5.46,2.82,12.54,3.92,8.82,0.0,3.17,5.93,0.0,0.59,0.0,0.0,2.7,3.51,6.68,2.91,13.49,2.04,5.85,4.45,15.3,0.91,9.66,10.46,2.01,4.784193548387096
espsim,method3,AD4_SCORCH,9.32,7.1,0.0,2.61,4.43,0.51,4.55,2.35,8.21,3.92,5.29,0.0,1.9,4.85,0.0,3.53,1.14,0.0,4.06,3.51,8.16,0.73,8.8,1.02,4.87,4.11,16.83,0.0,10.62,9.23,2.01,4.311612903225806
espsim,method4,AD4_SCORCH,7.67,12.77,0.0,1.86,5.69,0.0,5.16,2.58,10.81,2.09,2.65,0.0,0.0,5.39,5.58,3.53,1.14,0.0,2.7,3.51,8.16,0.73,7.04,2.04,5.85,1.37,16.83,0.91,13.52,4.92,0.0,4.338709677419354
espsim,method5,AD4_SCORCH,6.03,3.55,0.63,2.61,3.58,0.51,5.76,2.11,10.38,2.61,5.29,0.0,1.9,3.77,5.58,0.59,0.0,0.0,0.0,0.0,1.48,2.91,5.28,2.04,4.87,3.42,12.24,0.91,7.72,9.84,2.01,3.471612903225807
espsim,method6,AD4_SCORCH,3.29,5.32,0.0,2.24,2.11,2.57,5.76,3.75,10.81,1.83,7.06,0.0,0.63,1.08,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,1.76,0.0,4.87,2.05,11.47,0.0,4.83,11.69,0.0,2.754838709677419
espsim,method7,AD4_SCORCH,3.29,3.19,0.0,2.24,2.74,0.51,6.07,3.28,10.81,2.35,4.41,0.0,0.63,1.08,5.58,0.0,1.14,0.0,0.0,0.0,0.74,1.45,1.17,0.0,4.87,3.08,11.47,0.0,7.72,11.69,0.0,2.8874193548387095
espsim,method1,RFScoreVS_RTMScore,23.57,10.29,17.07,15.29,12.43,11.32,5.76,5.63,41.5,23.78,29.11,10.46,20.31,3.23,5.58,38.84,17.13,0.0,20.96,8.78,23.01,9.45,11.73,5.09,32.15,19.86,34.42,12.7,7.72,22.77,24.16,16.906451612903226
espsim,method2,RFScoreVS_RTMScore,36.18,12.06,15.81,24.99,16.02,8.75,13.35,5.63,38.04,25.61,29.11,20.91,19.05,4.31,5.58,35.31,10.28,0.0,22.31,15.81,20.78,24.0,11.14,4.08,33.12,17.81,32.89,14.52,6.76,24.0,27.18,18.56096774193548
espsim,method3,RFScoreVS_RTMScore,24.12,8.51,12.01,17.16,9.69,5.14,9.4,3.75,19.89,13.59,18.52,10.46,6.98,7.01,5.58,18.83,3.43,1.08,13.52,17.56,17.81,13.09,12.32,1.02,6.82,15.41,24.48,15.43,3.86,18.46,17.11,12.001290322580648
espsim,method4,RFScoreVS_RTMScore,16.99,9.22,11.38,12.68,8.01,2.57,7.28,3.99,17.72,10.71,16.76,8.36,7.62,5.93,0.0,18.24,4.57,1.08,10.14,14.05,18.55,7.27,12.32,1.02,3.9,14.72,25.24,12.7,3.86,17.84,16.11,10.349354838709678
espsim,method5,RFScoreVS_RTMScore,35.08,9.93,18.97,18.27,17.28,5.14,7.89,5.63,31.56,21.16,25.58,18.82,11.43,4.31,5.58,31.19,8.0,0.0,22.31,14.05,17.81,10.91,11.73,1.02,23.38,13.7,33.66,15.43,7.72,23.38,23.15,15.93774193548387
espsim,method6,RFScoreVS_RTMScore,27.96,13.48,16.44,29.09,14.54,12.86,16.69,6.8,44.09,35.8,29.11,14.64,19.68,1.62,0.0,46.49,13.71,4.33,24.34,24.59,18.55,21.82,16.42,15.28,36.05,25.34,34.42,20.87,5.79,20.31,22.15,20.427741935483866
espsim,method7,RFScoreVS_RTMScore,37.83,13.13,18.34,29.84,16.44,8.23,16.38,5.87,41.5,32.4,27.34,14.64,14.6,5.39,5.58,45.31,9.14,1.08,27.05,29.86,18.55,28.36,14.66,6.11,36.05,22.94,33.66,19.06,7.72,22.77,23.15,20.41870967741935
espsim,method1,RFScoreVS_SCORCH,20.83,20.22,8.22,19.77,13.91,10.29,14.86,7.51,43.66,17.77,17.64,6.27,8.25,1.08,11.17,26.48,0.0,3.25,16.9,3.51,11.88,13.09,9.38,9.17,28.25,11.64,20.65,7.26,10.62,22.15,9.06,13.701290322580643
espsim,method2,RFScoreVS_SCORCH,25.22,10.64,2.53,22.38,12.85,4.63,16.38,7.04,38.47,22.21,18.52,10.46,10.16,2.16,11.17,18.83,0.0,2.17,9.47,8.78,7.42,19.64,10.56,8.15,22.41,13.01,20.65,14.52,9.66,19.07,8.05,13.135806451612904
espsim,method3,RFScoreVS_SCORCH,25.22,11.35,5.06,22.38,12.64,4.12,15.77,5.87,25.51,18.55,10.58,8.36,6.35,8.62,11.17,21.18,0.0,3.25,14.2,12.29,9.65,13.82,7.62,6.11,14.61,13.35,16.06,13.61,8.69,19.07,10.07,12.100967741935486
espsim,method4,RFScoreVS_SCORCH,20.83,16.67,6.96,19.77,13.28,4.63,13.65,6.1,27.67,14.37,7.94,4.18,2.54,10.24,16.75,21.77,1.14,4.33,15.55,3.51,16.33,10.18,4.69,7.13,10.72,8.9,16.83,0.91,9.66,19.07,5.03,11.010645161290322
espsim,method5,RFScoreVS_SCORCH,24.12,8.51,3.79,11.93,12.85,1.54,11.53,7.27,32.85,18.55,15.88,10.46,8.25,2.16,5.58,10.59,1.14,2.17,8.79,0.0,5.94,13.09,9.97,5.09,16.56,7.19,17.59,5.44,10.62,20.31,5.03,10.154516129032256
espsim,method6,RFScoreVS_SCORCH,21.38,8.87,14.54,20.51,8.22,9.77,14.86,5.4,40.64,30.83,20.29,6.27,4.44,0.54,11.17,32.36,3.43,3.25,11.5,12.29,5.2,14.55,5.86,4.08,32.15,20.55,22.95,8.17,5.79,21.54,4.03,13.723548387096775
espsim,method7,RFScoreVS_SCORCH,25.22,8.51,10.12,23.12,9.48,5.14,15.77,5.87,40.2,27.96,21.17,6.27,4.44,1.08,11.17,27.66,1.14,2.17,13.52,14.05,5.2,17.45,8.21,6.11,30.2,16.44,20.65,13.61,9.66,20.92,5.03,13.791612903225806
espsim,method1,RTMScore_SCORCH,13.7,6.39,0.0,2.24,9.27,7.2,5.76,3.75,36.75,8.88,16.76,4.18,5.71,3.23,16.75,22.36,5.71,1.08,4.73,1.76,15.59,4.36,2.35,0.0,17.54,5.48,18.36,0.91,1.93,21.54,8.05,8.784516129032259
espsim,method2,RTMScore_SCORCH,8.77,4.26,1.26,3.73,6.32,3.09,5.16,4.22,22.91,4.7,15.88,12.55,3.17,3.23,11.17,8.24,2.28,0.0,1.35,0.0,11.13,4.36,1.76,0.0,9.74,5.14,21.42,1.81,3.86,15.38,7.05,6.578709677419355
espsim,method3,RTMScore_SCORCH,7.67,2.48,2.53,4.48,5.69,1.03,3.64,3.75,10.81,2.87,7.94,10.46,3.17,2.16,11.17,6.47,1.14,1.08,2.7,1.76,13.36,1.45,2.93,0.0,1.95,3.42,14.53,1.81,5.79,11.69,5.03,4.998709677419355
espsim,method4,RTMScore_SCORCH,7.13,4.26,1.26,4.48,7.38,0.51,7.58,3.52,15.13,3.4,3.53,0.0,1.27,2.69,11.17,13.53,2.28,1.08,3.38,3.51,13.36,0.0,3.52,0.0,1.95,3.42,12.24,0.91,5.79,9.84,3.02,4.875483870967742
espsim,method5,RTMScore_SCORCH,8.77,3.55,0.0,3.36,6.95,0.51,5.76,3.75,21.61,3.4,17.64,12.55,3.17,4.31,16.75,5.3,3.43,0.0,1.35,0.0,11.13,2.18,1.76,0.0,8.77,5.14,17.59,3.63,4.83,14.15,6.04,6.367096774193549
espsim,method6,RTMScore_SCORCH,6.03,2.48,0.63,3.36,5.69,4.12,6.37,3.05,20.75,2.35,10.58,0.0,0.63,0.54,5.58,1.77,2.28,0.0,4.73,0.0,6.68,1.45,2.93,1.02,6.82,3.42,13.0,0.0,2.9,14.15,0.0,4.300322580645162
espsim,method7,RTMScore_SCORCH,5.48,2.13,0.0,4.1,5.27,0.51,6.67,3.05,17.72,2.87,10.58,0.0,0.0,1.62,5.58,0.59,3.43,1.08,2.03,0.0,9.65,2.18,3.52,0.0,4.87,3.77,14.53,0.0,4.83,12.31,2.01,4.2058064516129035
espsim,method1,AD4_RTMScore_SCORCH,15.9,6.39,1.9,2.61,9.48,6.17,3.94,4.46,23.78,4.18,19.41,10.46,5.71,4.31,5.58,20.6,2.28,0.0,8.79,5.27,17.81,5.82,9.97,1.02,14.61,6.85,22.95,1.81,7.72,18.46,8.05,8.91258064516129
espsim,method2,AD4_RTMScore_SCORCH,13.16,9.22,1.9,2.61,9.06,4.63,4.25,5.4,16.43,4.18,18.52,10.46,4.44,4.31,11.17,12.36,2.28,0.0,9.47,7.02,16.33,2.18,15.25,1.02,10.72,7.53,21.42,2.72,10.62,16.0,9.06,8.507096774193547
espsim,method3,AD4_RTMScore_SCORCH,9.87,6.03,3.79,3.36,6.53,1.54,3.34,3.99,6.48,2.61,10.58,10.46,3.17,3.23,11.17,7.65,2.28,0.0,4.06,5.27,13.36,2.91,10.56,0.0,2.92,6.16,17.59,3.63,6.76,9.23,4.03,5.889032258064515
espsim,method4,AD4_RTMScore_SCORCH,11.51,8.87,0.63,2.61,6.95,0.51,7.28,2.35,12.54,1.83,6.17,8.36,0.63,4.85,11.17,14.71,2.28,0.0,4.73,5.27,14.1,0.0,8.21,1.02,2.92,3.08,17.59,1.81,8.69,12.31,6.04,6.097419354838709
