Target,Model,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,REF0.1,REF0.5,REF1,REF5,Source,Notes
mtorc1,GlideSP@PLANET,0.49,,,,,,,,0.842,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
oprk1,GlideSP@PLANET,0.52,,,,,,,,4.166,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
pkm2,GlideSP@PLANET,0.66,,,,,,,,4.02,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
pparg,GlideSP@PLANET,0.67,,,,,,,,3.879,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
tp53,GlideSP@PLANET,0.64,,,,,,,,2.369,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
vdr,GlideSP@PLANET,0.46,,,,,,,,0.43,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
adrb2,ΔVinaRF20@ΔLinF9,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00485,Uses non normalized EF
aldh1,ΔVinaRF20@ΔLinF9,,,,,,,,,1.66,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00486,Uses non normalized EF
esr1a,ΔVinaRF20@ΔLinF9,,,,,,,,,15.38,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00487,Uses non normalized EF
esr1t,ΔVinaRF20@ΔLinF9,,,,,,,,,2.94,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00488,Uses non normalized EF
fen1,ΔVinaRF20@ΔLinF9,,,,,,,,,0.81,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00489,Uses non normalized EF
gba,ΔVinaRF20@ΔLinF9,,,,,,,,,6.63,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00490,Uses non normalized EF
idh1,ΔVinaRF20@ΔLinF9,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00491,Uses non normalized EF
kat2a,ΔVinaRF20@ΔLinF9,,,,,,,,,0.52,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00492,Uses non normalized EF
mapk1,ΔVinaRF20@ΔLinF9,,,,,,,,,1.95,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00493,Uses non normalized EF
mtorc1,ΔVinaRF20@ΔLinF9,,,,,,,,,3.09,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00494,Uses non normalized EF
oprk1,ΔVinaRF20@ΔLinF9,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00495,Uses non normalized EF
pkm2,ΔVinaRF20@ΔLinF9,,,,,,,,,2.93,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00496,Uses non normalized EF
pparg,ΔVinaRF20@ΔLinF9,,,,,,,,,11.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00497,Uses non normalized EF
tp53,ΔVinaRF20@ΔLinF9,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00498,Uses non normalized EF
vdr,ΔVinaRF20@ΔLinF9,,,,,,,,,0.68,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00499,Uses non normalized EF
adrb2,Lin_F9@ΔLinF9,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00500,Uses non normalized EF
aldh1,Lin_F9@ΔLinF9,,,,,,,,,1.58,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00501,Uses non normalized EF
esr1a,Lin_F9@ΔLinF9,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00502,Uses non normalized EF
esr1t,Lin_F9@ΔLinF9,,,,,,,,,2.94,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00503,Uses non normalized EF
fen1,Lin_F9@ΔLinF9,,,,,,,,,1.9,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00504,Uses non normalized EF
gba,Lin_F9@ΔLinF9,,,,,,,,,7.23,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00505,Uses non normalized EF
idh1,Lin_F9@ΔLinF9,,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00506,Uses non normalized EF
kat2a,Lin_F9@ΔLinF9,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00507,Uses non normalized EF
mapk1,Lin_F9@ΔLinF9,,,,,,,,,1.62,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00508,Uses non normalized EF
mtorc1,Lin_F9@ΔLinF9,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00509,Uses non normalized EF
oprk1,Lin_F9@ΔLinF9,,,,,,,,,4.17,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00510,Uses non normalized EF
pkm2,Lin_F9@ΔLinF9,,,,,,,,,0.73,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00511,Uses non normalized EF
pparg,Lin_F9@ΔLinF9,,,,,,,,,7.41,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00512,Uses non normalized EF
tp53,Lin_F9@ΔLinF9,,,,,,,,,1.27,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00513,Uses non normalized EF
vdr,Lin_F9@ΔLinF9,,,,,,,,,0.34,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00514,Uses non normalized EF
adrb2,ΔLin_F9XGB@ΔLinF9,,,,,,,,,11.76,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00515,Uses non normalized EF
aldh1,ΔLin_F9XGB@ΔLinF9,,,,,,,,,6.46,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00516,Uses non normalized EF
esr1a,ΔLin_F9XGB@ΔLinF9,,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00517,Uses non normalized EF
esr1t,ΔLin_F9XGB@ΔLinF9,,,,,,,,,3.92,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00518,Uses non normalized EF
fen1,ΔLin_F9XGB@ΔLinF9,,,,,,,,,2.17,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00519,Uses non normalized EF
gba,ΔLin_F9XGB@ΔLinF9,,,,,,,,,9.64,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00520,Uses non normalized EF
idh1,ΔLin_F9XGB@ΔLinF9,,,,,,,,,5.13,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00521,Uses non normalized EF
kat2a,ΔLin_F9XGB@ΔLinF9,,,,,,,,,7.73,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00522,Uses non normalized EF
mapk1,ΔLin_F9XGB@ΔLinF9,,,,,,,,,2.6,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00523,Uses non normalized EF
mtorc1,ΔLin_F9XGB@ΔLinF9,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00524,Uses non normalized EF
oprk1,ΔLin_F9XGB@ΔLinF9,,,,,,,,,12.5,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00525,Uses non normalized EF
pkm2,ΔLin_F9XGB@ΔLinF9,,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00526,Uses non normalized EF
pparg,ΔLin_F9XGB@ΔLinF9,,,,,,,,,7.41,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00527,Uses non normalized EF
tp53,ΔLin_F9XGB@ΔLinF9,,,,,,,,,1.27,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00528,Uses non normalized EF
vdr,ΔLin_F9XGB@ΔLinF9,,,,,,,,,0.34,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00529,Uses non normalized EF
adrb2,PLANET,0.39,,,,,,,11.76,5.88,2.35,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
aldh1,PLANET,0.54,,,,,,,1.36,1.38,1.4,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
esr1a,PLANET,0.66,,,,,,,15.37,7.68,4.61,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
esr1t,PLANET,0.6,,,,,,,3.8,3.88,2.34,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
fen1,PLANET,0.6,,,,,,,7.04,5.14,2.65,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
gba,PLANET,0.68,,,,,,,2.4,3.01,2.4,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
idh1,PLANET,0.5,,,,,,,0,2.56,2.05,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
kat2a,PLANET,0.49,,,,,,,4.14,3.1,1.34,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
mapk1,PLANET,0.61,,,,,,,0.64,1.29,1.36,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
mtorc1,PLANET,0.46,,,,,,,2.05,2.05,1.23,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
oprk1,PLANET,0.45,,,,,,,0,4.16,0.83,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
pkm2,PLANET,0.56,,,,,,,1.83,1.83,1.35,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
pparg,PLANET,0.7,,,,,,,0,3.66,3.7,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
tp53,PLANET,0.58,,,,,,,2.44,2.5,1.51,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
vdr,PLANET,0.44,,,,,,,1.58,1.02,0.93,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00253,Uses non normalized EF
adrb2,ConBAP,0.385,,,,,,,10.523,5.262,1.053,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
aldh1,ConBAP,0.72,,,,,,,8.176,6.822,4.288,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
esr1a,ConBAP,0.544,,,,,,,19.446,9.914,1.998,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
esr1t,ConBAP,0.628,,,,,,,3.116,3.116,2.591,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
fen1,ConBAP,0.385,,,,,,,0.196,0.349,0.389,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
gba,ConBAP,0.632,,,,,,,6.279,4.187,1.885,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
idh1,ConBAP,0.474,,,,,,,1.966,1.404,1.011,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
kat2a,ConBAP,0.453,,,,,,,1.015,0.508,0.609,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
mapk1,ConBAP,0.617,,,,,,,0.59,0.792,1.438,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
mtorc1,ConBAP,0.476,,,,,,,0.526,0.421,0.716,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
oprk1,ConBAP,0.568,,,,,,,0,0,2.399,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
pkm2,ConBAP,0.613,,,,,,,1.175,1.175,1.541,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
pparg,ConBAP,0.753,,,,,,,2.953,2.771,3.29,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
tp53,ConBAP,0.637,,,,,,,2.36,1.18,1.18,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
vdr,ConBAP,0.419,,,,,,,0,0,0.392,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01961,Not sure if NEF or EF
adrb2,MILC-Dock†(4/15),,,,,,,,,5.88,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
aldh1,MILC-Dock†(4/15),,,,,,,,,0.97,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
gba,MILC-Dock†(4/15),,,,,,,,,7.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
idh1,MILC-Dock†(4/15),,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
adrb2,Vina†(4/15),,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
aldh1,Vina†(4/15),,,,,,,,,1.73,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
gba,Vina†(4/15),,,,,,,,,4.91,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
idh1,Vina†(4/15),,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
adrb2,PLANTS†(4/15),,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
aldh1,PLANTS†(4/15),,,,,,,,,1.66,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
gba,PLANTS†(4/15),,,,,,,,,4.91,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
idh1,PLANTS†(4/15),,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
adrb2,LeDock†(4/15),,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
aldh1,LeDock†(4/15),,,,,,,,,1.62,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
gba,LeDock†(4/15),,,,,,,,,1.84,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
idh1,LeDock†(4/15),,,,,,,,,5.13,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
adrb2,rDock†(4/15),,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
aldh1,rDock†(4/15),,,,,,,,,1.7,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
gba,rDock†(4/15),,,,,,,,,3.07,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
idh1,rDock†(4/15),,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
adrb2,AutoDock4†(4/15),,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
aldh1,AutoDock4†(4/15),,,,,,,,,2.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
gba,AutoDock4†(4/15),,,,,,,,,5.52,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
idh1,AutoDock4†(4/15),,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00705,Uses NEF
All,DyScore-MF,,0.071,,,5.9,,,,,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,Uses non normalized EF
All,DyScore,,0.043,,,3.3,,,,,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,Uses non normalized EF
All,RF-Score-v3,,0.031,,,2,,,,,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,Uses non normalized EF
All,NNScore 2.0,,0.025,,,1.7,,,,,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,Uses non normalized EF
All,DSX,,0.025,,,1,,,,,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,Uses non normalized EF
All,Xscore,,0.039,,,2.5,,,,,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.2c00926,Uses non normalized EF
adrb2,FINDSITE,,,,,,,,,11.76,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
aldh1,FINDSITE,,,,,,,,,0.68,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
esr1a,FINDSITE,,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
esr1t,FINDSITE,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
fen1,FINDSITE,,,,,,,,,1.36,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
gba,FINDSITE,,,,,,,,,1.81,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
idh1,FINDSITE,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
kat2a,FINDSITE,,,,,,,,,0.52,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
mapk1,FINDSITE,,,,,,,,,6.77,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
mtorc1,FINDSITE,,,,,,,,,2.62,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
oprk1,FINDSITE,,,,,,,,,8.33,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pkm2,FINDSITE,,,,,,,,,0.77,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pparg,FINDSITE,,,,,,,,,1.23,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
tp53,FINDSITE,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
vdr,FINDSITE,,,,,,,,,1.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
adrb2,FRAGSITE,,,,,,,,,9.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
aldh1,FRAGSITE,,,,,,,,,0.75,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
esr1a,FRAGSITE,,,,,,,,,0.51,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
esr1t,FRAGSITE,,,,,,,,,2.61,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
fen1,FRAGSITE,,,,,,,,,17.07,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
gba,FRAGSITE,,,,,,,,,2.71,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
idh1,FRAGSITE,,,,,,,,,3.11,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
kat2a,FRAGSITE,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
mapk1,FRAGSITE,,,,,,,,,9.81,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
mtorc1,FRAGSITE,,,,,,,,,3,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
oprk1,FRAGSITE,,,,,,,,,4.17,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pkm2,FRAGSITE,,,,,,,,,1.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pparg,FRAGSITE,,,,,,,,,5.93,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
tp53,FRAGSITE,,,,,,,,,6.96,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
vdr,FRAGSITE,,,,,,,,,1.7,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
adrb2,EViS,,,,,,,,,11.77,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
aldh1,EViS,,,,,,,,,0.92,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
esr1a,EViS,,,,,,,,,15.37,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
esr1t,EViS,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
fen1,EViS,,,,,,,,,1.9,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
gba,EViS,,,,,,,,,3.01,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
idh1,EViS,,,,,,,,,2.56,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
kat2a,EViS,,,,,,,,,1.55,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
mapk1,EViS,,,,,,,,,2.6,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
mtorc1,EViS,,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
oprk1,EViS,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pkm2,EViS,,,,,,,,,4.03,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pparg,EViS,,,,,,,,,14.64,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
tp53,EViS,,,,,,,,,1.25,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
vdr,EViS,,,,,,,,,1.02,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00944,Uses NEF
pkm2,BANANA,0.47,,,,,,,,0.55,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
aldh1,BANANA,0.54,,,,,,,,1.13,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
mapk1,BANANA,0.62,,,,,,,,3.57,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
kat2a,BANANA,0.58,,,,,,,,4.12,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
esr1a,BANANA,0.71,,,,,,,,7.69,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
esr1t,BANANA,0.5,,,,,,,,1.98,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
oprk1,BANANA,0.66,,,,,,,,8.33,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
tp53,BANANA,0.48,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
vdr,BANANA,0.62,,,,,,,,1.36,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
mtorc1,BANANA,0.46,,,,,,,,2.06,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
gba,BANANA,0.55,,,,,,,,1.81,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
adrb2,BANANA,0.69,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
idh1,BANANA,0.53,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
pparg,BANANA,0.59,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
fen1,BANANA,0.86,,,,,,,,20.59,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01211,Uses NEF
adrb2,pKd-screen+NMDN,,,,,,,,,11.76,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
aldh1,pKd-screen+NMDN,,,,,,,,,1.45,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
esr1a,pKd-screen+NMDN,,,,,,,,,15.38,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
esr1t,pKd-screen+NMDN,,,,,,,,,1.96,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
fen1,pKd-screen+NMDN,,,,,,,,,2.71,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
gba,pKd-screen+NMDN,,,,,,,,,2.41,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
idh1,pKd-screen+NMDN,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
kat2a,pKd-screen+NMDN,,,,,,,,,4.12,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
mapk1,pKd-screen+NMDN,,,,,,,,,1.3,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
mtorc1,pKd-screen+NMDN,,,,,,,,,1.03,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
oprk1,pKd-screen+NMDN,,,,,,,,,0,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
pkm2,pKd-screen+NMDN,,,,,,,,,0.18,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
pparg,pKd-screen+NMDN,,,,,,,,,25.93,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
tp53,pKd-screen+NMDN,,,,,,,,,3.8,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
vdr,pKd-screen+NMDN,,,,,,,,,2.38,,,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c01014,Not sure if NEF or EF
adrb2,WatVina,,,,,,,,,0,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
aldh1,WatVina,,,,,,,,,1.83,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
esr1a,WatVina,,,,,,,,,7.69,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
esr1t,WatVina,,,,,,,,,0.97,,,,,,https://o?Linelibrary.wiley.com/doi/full/10.1002/jcc.70060,Not sure if NEF or EF
