Target,Model,AUC,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,Source,Notes
hsp90,GlideSP/GOLD,,0.524135417,0.065859309,,,,,0,0,2.384615385,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
igf1r,GlideSP/GOLD,,0.6543125,0.174026895,,,,,0,8.857142857,4.769230769,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
inha,GlideSP/GOLD,,0.5884375,0.273658707,,,,,15.5,13.28571429,9.538461538,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
itk,GlideSP/GOLD,,0.626770833,0.063668468,,,,,0,4.428571429,2.384615385,0.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jak3,GlideSP/GOLD,,0.7750625,0.143169862,,,,,0,4.428571429,4.769230769,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jnk1,GlideSP/GOLD,,0.659833333,0.039345203,,,,,0,0,0,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jnk2,GlideSP/GOLD,,0.616242702,0.245595569,,,,,30.975,13.275,9.530769231,2.497983871,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jnk3,GlideSP/GOLD,,0.708354167,0.228544057,,,,,0,8.857142857,9.538461538,4.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
kif11,GlideSP/GOLD,,0.850271059,0.333182913,,,,,15.488,13.275,14.29615385,5.495564516,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
lck,GlideSP/GOLD,,0.619751669,0.206923352,,,,,15.475,8.842857143,7.142307692,2.99516129,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
mdm2,GlideSP/GOLD,,0.481208333,0.262075797,,,,,15.5,13.28571429,11.92307692,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
mk2,GlideSP/GOLD,,0.726889525,0.268565076,,,,,33.405,9.544401544,7.708939709,4.310374891,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
mmp2,GlideSP/GOLD,,0.567631146,0.138929505,,,,,15.872,4.534798535,2.441814596,2.559966915,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
na,GlideSP/GOLD,,0.494104167,0.060864208,,,,,0,0,2.384615385,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
p38-alpha,GlideSP/GOLD,,0.607999165,0.072577978,,,,,0,4.417857143,2.378846154,0.997580645,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
parp-1,GlideSP/GOLD,,0.753382353,0.16449704,,,,,0,4.392857143,2.365384615,4.959677419,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pde4b,GlideSP/GOLD,,0.609223706,0.004268522,,,,,0,0,0,0.499193548,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pde5,GlideSP/GOLD,,0.756052632,0.269026201,,,,,16.289,9.308270677,7.518218623,4.729202037,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pdk1,GlideSP/GOLD,,0.613043478,0.181670137,,,,,15.45,8.828571429,7.130769231,1.993548387,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pi3kg,GlideSP/GOLD,,0.750689223,0.14825555,,,,,15.463,4.417857143,4.757692308,1.99516129,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pim-1,GlideSP/GOLD,,0.64229798,0.174204565,,,,,15.35,8.771428571,4.723076923,2.475806452,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pim-2,GlideSP/GOLD,,0.651426174,0.165701427,,,,,0,4.4,7.107692308,3.974193548,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pnp,GlideSP/GOLD,,0.600333333,0.020568131,,,,,0,0,0,0.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ppara,GlideSP/GOLD,,0.678666667,0.193260037,,,,,0,4.428571429,7.153846154,4,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pparg,GlideSP/GOLD,,0.69930465,0.334275197,,,,,0,8.93040293,14.4260355,6.148802018,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pr,GlideSP/GOLD,,0.501600418,1.30E-05,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
prkcq,GlideSP/GOLD,,0.805525438,0.196364616,,,,,0,4.425,4.765384615,6.994354839,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pygl-in,GlideSP/GOLD,,0.702645833,0.240630472,,,,,15.5,8.857142857,9.538461538,4,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pygl-out,GlideSP/GOLD,,0.59125,0.012832033,,,,,0,0,0,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
qpct,GlideSP/GOLD,,0.657854167,0.014061976,,,,,0,0,0,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
rock-1,GlideSP/GOLD,,0.537645833,0.035334222,,,,,0,0,0,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
rxr,GlideSP/GOLD,,0.502801003,6.39E-06,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
sars-hcov,GlideSP/GOLD,,0.552969538,0.051550569,,,,,0,0,2.384615385,1.524590164,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
sirt2,GlideSP/GOLD,,0.571924686,0.093845744,,,,,0,0,4.75,2.489919355,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
src,GlideSP/GOLD,,0.547414512,0.184075781,,,,,15.488,13.275,7.148076923,1.498790323,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
thrombin,GlideSP/GOLD,,0.727447917,0.151277569,,,,,15.5,4.428571429,4.769230769,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tie2,GlideSP/GOLD,,0.623291667,0.220334468,,,,,15.5,8.857142857,7.153846154,4,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tk,GlideSP/GOLD,,0.502833558,0.002767125,,,,,0,0,0,0.511993383,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tp,GlideSP/GOLD,,0.346932387,1.94E-06,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tpa,GlideSP/GOLD,,0.706752264,0.053546336,,,,,0,0,0,1.191919192,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ts,GlideSP/GOLD,,0.695104167,0.201434473,,,,,15.5,4.428571429,2.384615385,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
upa,GlideSP/GOLD,,0.714886459,0.582725585,,,,,30.725,21.94642857,21.27115385,8.92016129,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
vegfr1,GlideSP/GOLD,,0.664708333,0.149919112,,,,,15.5,4.428571429,4.769230769,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
vegfr2,GlideSP/GOLD,,0.577354167,0.029196939,,,,,0,0,0,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
11betahsd1,GlideSP/LeDock,,0.428770833,2.05E-05,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
17betahsd1,GlideSP/LeDock,,0.547895833,0.065689286,,,,,0,4.428571429,2.384615385,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
a2a,GlideSP/LeDock,,0.679979167,0.110485127,,,,,15.5,4.428571429,2.384615385,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ace,GlideSP/LeDock,,0.287416667,0.003033854,,,,,0,0,0,0.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ace2,GlideSP/LeDock,,0.14840625,1.58E-16,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ache,GlideSP/LeDock,,0.58796875,0.174283936,,,,,15.5,8.857142857,4.769230769,4,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
adam17,GlideSP/LeDock,,0.38378125,0.033714583,,,,,0,0,2.384615385,0.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
adrb2,GlideSP/LeDock,,0.631145833,0.111809259,,,,,15.5,4.428571429,2.384615385,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
akt1,GlideSP/LeDock,,0.765125,0.30253484,,,,,0,13.28571429,11.92307692,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
alr2,GlideSP/LeDock,,0.49509375,0.000739604,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ar,GlideSP/LeDock,,0.66,0.089890225,,,,,0,0,2.384615385,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
aurka,GlideSP/LeDock,,0.875729167,0.554747909,,,,,31,22.14285714,16.69230769,10,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
aurkb,GlideSP/LeDock,,0.827604167,0.569067887,,,,,31,22.14285714,19.07692308,9,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
bcl2,GlideSP/LeDock,,0.727739583,0.245602234,,,,,0,4.428571429,4.769230769,6,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
braf,GlideSP/LeDock,,0.720583333,0.078792583,,,,,0,4.428571429,2.384615385,2,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
catl,GlideSP/LeDock,,0.601520833,0.034182846,,,,,0,0,0,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cdk2,GlideSP/LeDock,,0.763427083,0.273203779,,,,,0,8.857142857,9.538461538,6.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cox1,GlideSP/LeDock,,0.6951875,0.142007182,,,,,0,4.428571429,4.769230769,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cox2,GlideSP/LeDock,,0.882197917,0.585644926,,,,,15.5,22.14285714,19.07692308,11.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ctsk,GlideSP/LeDock,,0.639010417,0.009877262,,,,,0,0,0,2,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
cyp2a6,GlideSP/LeDock,,0.295666667,0.037289799,,,,,0,0,2.384615385,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
dhfr,GlideSP/LeDock,,0.699614583,0.152262782,,,,,0,8.857142857,4.769230769,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
egfr,GlideSP/LeDock,,0.727364583,0.404043383,,,,,31,22.14285714,14.30769231,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ephb4,GlideSP/LeDock,,0.885510417,0.439004317,,,,,0,13.28571429,14.30769231,10.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
erbb2,GlideSP/LeDock,,0.8565625,0.447301817,,,,,15.5,13.28571429,9.538461538,9,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
er-beta,GlideSP/LeDock,,0.630583333,0.098531951,,,,,0,0,0,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
fgfr1,GlideSP/LeDock,,0.7958125,0.359056772,,,,,15.5,13.28571429,14.30769231,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
fkbp1a,GlideSP/LeDock,,0.26203125,1.08E-12,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
fxa,GlideSP/LeDock,,0.863166667,0.351671644,,,,,0,13.28571429,14.30769231,8.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
gba,GlideSP/LeDock,,0.616291667,0.021755211,,,,,0,0,0,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
gr,GlideSP/LeDock,,0.541697917,0.000592794,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
gsk3b,GlideSP/LeDock,,0.758489583,0.295929819,,,,,0,8.857142857,9.538461538,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hdac2,GlideSP/LeDock,,0.731114583,0.114542844,,,,,0,4.428571429,2.384615385,5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hdac8,GlideSP/LeDock,,0.546895833,0.000440508,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hiv1pr,GlideSP/LeDock,,0.628802083,0.28430911,,,,,15.5,17.71428571,9.538461538,4.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hiv1rt,GlideSP/LeDock,,0.6236875,0.02942744,,,,,0,0,0,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hmgr,GlideSP/LeDock,,0.68240625,0.011904888,,,,,0,0,0,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
hsp90,GlideSP/LeDock,,0.683510417,0.288542479,,,,,0,8.857142857,9.538461538,4,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
igf1r,GlideSP/LeDock,,0.711302083,0.286854477,,,,,15.5,8.857142857,9.538461538,5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
inha,GlideSP/LeDock,,0.419395833,0.08465043,,,,,0,4.428571429,4.769230769,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
itk,GlideSP/LeDock,,0.780052083,0.238804012,,,,,15.5,4.428571429,7.153846154,4,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jak3,GlideSP/LeDock,,0.69709375,0.093526183,,,,,0,0,2.384615385,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jnk1,GlideSP/LeDock,,0.703177083,0.14525591,,,,,15.5,4.428571429,4.769230769,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jnk2,GlideSP/LeDock,,0.634927083,0.363628258,,,,,31,17.71428571,11.92307692,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
jnk3,GlideSP/LeDock,,0.7789375,0.475320872,,,,,15.5,17.71428571,19.07692308,6.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
kif11,GlideSP/LeDock,,0.64040625,0.004984238,,,,,0,0,0,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
lck,GlideSP/LeDock,,0.675,0.092205753,,,,,0,0,2.384615385,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
mdm2,GlideSP/LeDock,,0.60896875,0.072452673,,,,,0,0,0,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
mk2,GlideSP/LeDock,,0.807489583,0.375185764,,,,,15.5,17.71428571,11.92307692,5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
mmp2,GlideSP/LeDock,,0.31871875,7.82E-06,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
na,GlideSP/LeDock,,0.501270833,0.005062435,,,,,0,0,0,0.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
p38-alpha,GlideSP/LeDock,,0.707260417,0.142360575,,,,,15.5,8.857142857,4.769230769,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
parp-1,GlideSP/LeDock,,0.7095625,0.215682141,,,,,15.5,8.857142857,7.153846154,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pde4b,GlideSP/LeDock,,0.5848125,0.151564848,,,,,0,0,2.384615385,4.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pde5,GlideSP/LeDock,,0.66809375,0.120604611,,,,,0,4.428571429,4.769230769,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pdk1,GlideSP/LeDock,,0.74596875,0.395058362,,,,,31,17.71428571,11.92307692,6.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pi3kg,GlideSP/LeDock,,0.77334375,0.212219318,,,,,0,4.428571429,9.538461538,5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pim-1,GlideSP/LeDock,,0.6534375,0.350916261,,,,,15.5,17.71428571,11.92307692,5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pim-2,GlideSP/LeDock,,0.669104167,0.324937928,,,,,31,17.71428571,11.92307692,5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pnp,GlideSP/LeDock,,0.899208333,0.547701248,,,,,31,22.14285714,16.69230769,7.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ppara,GlideSP/LeDock,,0.514760417,2.24E-05,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pparg,GlideSP/LeDock,,0.572114583,0.009085292,,,,,0,0,0,1,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pr,GlideSP/LeDock,,0.65865625,0.147139954,,,,,15.5,8.857142857,4.769230769,2.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
prkcq,GlideSP/LeDock,,0.798166667,0.672182276,,,,,31,13.28571429,21.46153846,11.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pygl-in,GlideSP/LeDock,,0.856229167,0.315311605,,,,,15.5,13.28571429,9.538461538,7,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
pygl-out,GlideSP/LeDock,,0.245875,1.32E-08,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
qpct,GlideSP/LeDock,,0.76675,0.010837103,,,,,0,0,0,1.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
rock-1,GlideSP/LeDock,,0.700791667,0.179529936,,,,,15.5,8.857142857,4.769230769,3,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
rxr,GlideSP/LeDock,,0.556333333,0.03243116,,,,,0,0,0,2,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
sars-hcov,GlideSP/LeDock,,0.627405216,0.127153775,,,,,0,0,2.384615385,4.573770492,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
sirt2,GlideSP/LeDock,,0.597729167,0.029663039,,,,,0,0,0,2,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
src,GlideSP/LeDock,,0.700083333,0.194733963,,,,,15.5,8.857142857,7.153846154,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
thrombin,GlideSP/LeDock,,0.72553125,0.088767932,,,,,0,0,0,3.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tie2,GlideSP/LeDock,,0.744927083,0.394126413,,,,,31,17.71428571,16.69230769,6,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tk,GlideSP/LeDock,,0.619322917,0.111135496,,,,,0,4.428571429,2.384615385,2,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tp,GlideSP/LeDock,,0.585145833,0.172303373,,,,,15.5,4.428571429,7.153846154,2,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
tpa,GlideSP/LeDock,,0.824430894,0.255188716,,,,,0,8.648083624,9.313320826,3.363143631,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
ts,GlideSP/LeDock,,0.6490625,0.001148035,,,,,0,0,0,0,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
upa,GlideSP/LeDock,,0.747229167,0.370804398,,,,,31,17.71428571,11.92307692,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
vegfr1,GlideSP/LeDock,,0.782145833,0.296606252,,,,,0,8.857142857,7.153846154,7,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
vegfr2,GlideSP/LeDock,,0.777729167,0.24751272,,,,,15.5,8.857142857,4.769230769,5.5,https://academic.oup.com/bib/article/22/3/bbaa070/5850047?login=false#248044607,Uses non-normalized EF
11betahsd1,GOLD,,0.626,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
17betahsd1,GOLD,,0.558,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
a2a,GOLD,,0.62,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
ace,GOLD,,0.635,,,,,,15.5,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
ace2,GOLD,,0.716,,,,,,15.885,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
ache,GOLD,,0.652,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
adam17,GOLD,,0.638,,,,,,31,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
adrb2,GOLD,,0.682,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
akt1,GOLD,,0.628,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
alr2,GOLD,,0.47,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
ar,GOLD,,0.633,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
aurka,GOLD,,0.652,,,,,,15.5,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
aurkb,GOLD,,0.571,,,,,,15.5,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
bcl2,GOLD,,0.824,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
braf,GOLD,,0.546,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
catl,GOLD,,0.735,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
cdk2,GOLD,,0.631,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
cox1,GOLD,,0.681,,,,,,0,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.4c00855,"Not explictly said if NEF or EF, but cites 10.1093/bib/bbaa070 where EF is defined as non normalized EF"
