Target,Model,ROCE1,EF1,NEF1,AUC_ROC,AUC,BEDROC,Source,Notes
fa10,CompScore*,,,39.34,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fa7,CompScore*,,,55.5,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fabp4,CompScore*,,,41.49,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fak1,CompScore*,,,36.8,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fgfr1,CompScore*,,,30.07,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fkb1a,CompScore*,,,38.12,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fnta,CompScore*,,,15.86,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
fpps,CompScore*,,,81.47,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
gcr,CompScore*,,,27.09,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
glcm,CompScore*,,,61,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
gria2,CompScore*,,,46.92,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
grik1,CompScore*,,,56.81,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hdac2,CompScore*,,,42.19,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hdac8,CompScore*,,,63.06,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hivint,CompScore*,,,16.99,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hivpr,CompScore*,,,18.2,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hivrt,CompScore*,,,21.77,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hmdh,CompScore*,,,46.45,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hs90a,CompScore*,,,47.44,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
hxk4,CompScore*,,,36.77,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
igf1r,CompScore*,,,32.14,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
inha,CompScore*,,,42.05,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
ital,CompScore*,,,24.63,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
jak2,CompScore*,,,47.35,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
kif11,CompScore*,,,51.34,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
kit,CompScore*,,,23.43,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
kith,CompScore*,,,50.91,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
kpcb,CompScore*,,,47.24,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
lck,CompScore*,,,36.99,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
lkha4,CompScore*,,,28.43,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mapk2,CompScore*,,,61.13,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mcr,CompScore*,,,34.54,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
met,CompScore*,,,43.27,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mk01,CompScore*,,,32.62,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mk10,CompScore*,,,36.42,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mk14,CompScore*,,,23.87,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mmp13,CompScore*,,,38.29,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
mp2k1,CompScore*,,,23.27,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
nos1,CompScore*,,,44.44,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
nram,CompScore*,,,64.07,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pa2ga,CompScore*,,,40.93,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
parp1,CompScore*,,,58.26,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pde5a,CompScore*,,,34.09,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pgh1,CompScore*,,,20.1,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pgh2,CompScore*,,,32.26,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
plk1,CompScore*,,,42.29,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pnph,CompScore*,,,65.13,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
ppara,CompScore*,,,19.6,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
ppard,CompScore*,,,23.22,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pparg,CompScore*,,,22.39,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
prgr,CompScore*,,,45.33,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
ptn1,CompScore*,,,38.85,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pur2,CompScore*,,,54.66,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pygm,CompScore*,,,16.49,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
pyrd,CompScore*,,,50.55,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
reni,CompScore*,,,41.99,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
rock1,CompScore*,,,40.83,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
rxra,CompScore*,,,53.25,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
sahh,CompScore*,,,48.02,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
src,CompScore*,,,32.67,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
tgfr1,CompScore*,,,56.76,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
thb,CompScore*,,,53.38,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
thrb,CompScore*,,,45.92,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
try1,CompScore*,,,58.34,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
tryb1,CompScore*,,,43.68,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
tysy,CompScore*,,,35.39,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
urok,CompScore*,,,60.94,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
vgfr2,CompScore*,,,26.78,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
wee1,CompScore*,,,61.16,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
xiap,CompScore*,,,52.3,,,,https://pubs.acs.org/doi/10.1021/acs.jcim.9b00343,Not sure if NEF or EF
ada,ESSENCE-DOCK*†(21/102),,,11.9,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
akt1,ESSENCE-DOCK*†(21/102),,,2.7,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
ampc,ESSENCE-DOCK*†(21/102),,,2.1,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
casp3,ESSENCE-DOCK*†(21/102),,,9.5,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
cp3a4,ESSENCE-DOCK*†(21/102),,,1.8,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
cxcr4,ESSENCE-DOCK*†(21/102),,,0,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
fa7,ESSENCE-DOCK*†(21/102),,,17.4,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
fabp4,ESSENCE-DOCK*†(21/102),,,10.6,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
fpps,ESSENCE-DOCK*†(21/102),,,20.1,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
gcr,ESSENCE-DOCK*†(21/102),,,13.9,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
glcm,ESSENCE-DOCK*†(21/102),,,5.5,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
hivpr,ESSENCE-DOCK*†(21/102),,,9.7,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
hivrt,ESSENCE-DOCK*†(21/102),,,8.9,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
hs90a,ESSENCE-DOCK*†(21/102),,,8,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
ital,ESSENCE-DOCK*†(21/102),,,9.5,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
kif11,ESSENCE-DOCK*†(21/102),,,24,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
mk14,ESSENCE-DOCK*†(21/102),,,5.4,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
nram,ESSENCE-DOCK*†(21/102),,,17.3,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
pa2ga,ESSENCE-DOCK*†(21/102),,,25.5,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
try1,ESSENCE-DOCK*†(21/102),,,8.2,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
wee1,ESSENCE-DOCK*†(21/102),,,53.5,,,,10.26434/chemrxiv-2023-21wtv,Uses NEF
aa2ar,SIEVE-Score‡,,,51,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
abl1,SIEVE-Score‡,,,34.4,,0.89,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ace,SIEVE-Score‡,,,30.3,,0.88,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
aces,SIEVE-Score‡,,,35.3,,0.87,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ada,SIEVE-Score‡,,,55.2,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ada17,SIEVE-Score‡,,,59.3,,0.95,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
adrb1,SIEVE-Score‡,,,42.1,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
adrb2,SIEVE-Score‡,,,42.4,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
akt1,SIEVE-Score‡,,,42.1,,0.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
akt2,SIEVE-Score‡,,,49,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
aldr,SIEVE-Score‡,,,28.2,,0.83,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ampc,SIEVE-Score‡,,,30.7,,0.85,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
andr,SIEVE-Score‡,,,40.5,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
aofb,SIEVE-Score‡,,,14.2,,0.71,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
bace1,SIEVE-Score‡,,,36.6,,0.87,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
braf,SIEVE-Score‡,,,47,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
cah2,SIEVE-Score‡,,,23.2,,0.77,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
casp3,SIEVE-Score‡,,,45.6,,0.87,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
cdk2,SIEVE-Score‡,,,34.8,,0.87,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
comt,SIEVE-Score‡,,,75.5,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
cp2c9,SIEVE-Score‡,,,9.3,,0.61,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
cp3a4,SIEVE-Score‡,,,6.7,,0.64,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
csf1r,SIEVE-Score‡,,,43.2,,0.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
cxcr4,SIEVE-Score‡,,,61.1,,0.95,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
def,SIEVE-Score‡,,,56.6,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
dhi1,SIEVE-Score‡,,,27.7,,0.84,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
dpp4,SIEVE-Score‡,,,61.5,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
drd3,SIEVE-Score‡,,,50.8,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
dyr,SIEVE-Score‡,,,56.4,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
egfr,SIEVE-Score‡,,,44.7,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
esr1,SIEVE-Score‡,,,53.2,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
esr2,SIEVE-Score‡,,,53.3,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fa10,SIEVE-Score‡,,,37.8,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fa7,SIEVE-Score‡,,,54.5,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fabp4,SIEVE-Score‡,,,47.3,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fak1,SIEVE-Score‡,,,54.2,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fgfr1,SIEVE-Score‡,,,0,,0.14,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fkb1a,SIEVE-Score‡,,,50.4,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fnta,SIEVE-Score‡,,,44.3,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
fpps,SIEVE-Score‡,,,81,,0.99,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
gcr,SIEVE-Score‡,,,33.3,,0.89,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
glcm,SIEVE-Score‡,,,35.9,,0.84,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
gria2,SIEVE-Score‡,,,56.6,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
grik1,SIEVE-Score‡,,,63.2,,0.99,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hdac2,SIEVE-Score‡,,,49.9,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hdac8,SIEVE-Score‡,,,59.6,,0.95,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hivint,SIEVE-Score‡,,,23.8,,0.86,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hivpr,SIEVE-Score‡,,,38.3,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hivrt,SIEVE-Score‡,,,39.8,,0.88,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hmdh,SIEVE-Score‡,,,52.3,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hs90a,SIEVE-Score‡,,,38,,0.85,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
hxk4,SIEVE-Score‡,,,36.7,,0.88,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
igf1r,SIEVE-Score‡,,,41,,0.89,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
inha,SIEVE-Score‡,,,6.8,,0.81,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ital,SIEVE-Score‡,,,25.3,,0.83,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
jak2,SIEVE-Score‡,,,45.3,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
kif11,SIEVE-Score‡,,,53.4,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
kit,SIEVE-Score‡,,,24.2,,0.83,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
kith,SIEVE-Score‡,,,49.8,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
kpcb,SIEVE-Score‡,,,57.2,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
lck,SIEVE-Score‡,,,41,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
lkha4,SIEVE-Score‡,,,37.9,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mapk2,SIEVE-Score‡,,,56.4,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mcr,SIEVE-Score‡,,,27.1,,0.86,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
met,SIEVE-Score‡,,,49.1,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mk01,SIEVE-Score‡,,,41.7,,0.85,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mk10,SIEVE-Score‡,,,27.5,,0.82,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mk14,SIEVE-Score‡,,,30.6,,0.85,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mmp13,SIEVE-Score‡,,,61.6,,0.97,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
mp2k1,SIEVE-Score‡,,,5,,0.89,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
nos1,SIEVE-Score‡,,,24.9,,0.84,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
nram,SIEVE-Score‡,,,61.8,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pa2ga,SIEVE-Score‡,,,49.9,,0.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
parp1,SIEVE-Score‡,,,59.6,,0.97,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pde5a,SIEVE-Score‡,,,14,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pgh1,SIEVE-Score‡,,,35.8,,0.86,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pgh2,SIEVE-Score‡,,,42,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
plk1,SIEVE-Score‡,,,40.7,,0.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pnph,SIEVE-Score‡,,,65.4,,0.98,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ppara,SIEVE-Score‡,,,31.4,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ppard,SIEVE-Score‡,,,33.8,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pparg,SIEVE-Score‡,,,34.4,,0.91,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
prgr,SIEVE-Score‡,,,47.1,,0.95,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
ptn1,SIEVE-Score‡,,,53.2,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pur2,SIEVE-Score‡,,,54.6,,1,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pygm,SIEVE-Score‡,,,34.8,,0.89,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
pyrd,SIEVE-Score‡,,,56.8,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
reni,SIEVE-Score‡,,,26,,0.78,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
rock1,SIEVE-Score‡,,,48.4,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
rxra,SIEVE-Score‡,,,40.5,,0.99,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
sahh,SIEVE-Score‡,,,34.8,,0.99,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
src,SIEVE-Score‡,,,44.9,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
tgfr1,SIEVE-Score‡,,,61.5,,0.94,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
thb,SIEVE-Score‡,,,36.6,,0.92,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
thrb,SIEVE-Score‡,,,51.6,,0.95,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
try1,SIEVE-Score‡,,,56.5,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
tryb1,SIEVE-Score‡,,,49.8,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
tysy,SIEVE-Score‡,,,58.7,,0.93,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
urok,SIEVE-Score‡,,,57,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
vgfr2,SIEVE-Score‡,,,37.4,,0.9,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
wee1,SIEVE-Score‡,,,60.7,,0.97,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
xiap,SIEVE-Score‡,,,51.8,,0.96,,https://pubs.acs.org/doi/10.1021/acs.jcim.8b00673,Uses NEF
aa2ar,DLIGAND2,,,2.5,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
abl1,DLIGAND2,,,7.49,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
ace,DLIGAND2,,,2.99,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
aces,DLIGAND2,,,0.75,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
ada,DLIGAND2,,,0.39,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
ada17,DLIGAND2,,,1.56,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
adrb1,DLIGAND2,,,6.78,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
adrb2,DLIGAND2,,,7.17,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
akt1,DLIGAND2,,,9.24,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
akt2,DLIGAND2,,,1.06,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
aldr,DLIGAND2,,,0.45,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
ampc,DLIGAND2,,,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
andr,DLIGAND2,,,0.19,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
aofb,DLIGAND2,,,3.57,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
bace1,DLIGAND2,,,13.39,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
braf,DLIGAND2,,,4.41,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
cah2,DLIGAND2,,,0.36,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
casp3,DLIGAND2,,,2.86,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
cdk2,DLIGAND2,,,1,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
comt,DLIGAND2,,,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
cp2c9,DLIGAND2,,,6.59,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
cp3a4,DLIGAND2,,,3.62,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
csf1r,DLIGAND2,,,0.35,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
cxcr4,DLIGAND2,,,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
def,DLIGAND2,,,0,,,,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-019-0373-4#Abs1,Uses NEF
